"Coverage","group"
0.658,"ITE-NUC"
0.6642,"ITE-NUC"
0.6557,"ITE-NUC"
0.7257,"ITE-NUC"
0.6097,"ITE-NUC"
0.7046,"ITE-NUC"
0.6116,"ITE-NUC"
0.7357,"ITE-NUC"
0.7117,"ITE-NUC"
0.6202,"ITE-NUC"
0.6368,"ITE-NUC"
0.6507,"ITE-NUC"
0.6441,"ITE-NUC"
0.7289,"ITE-NUC"
0.662,"ITE-NUC"
0.6432,"ITE-NUC"
0.6911,"ITE-NUC"
0.6526,"ITE-NUC"
0.6808,"ITE-NUC"
0.6408,"ITE-NUC"
0.6598,"ITE-NUC"
0.6201,"ITE-NUC"
0.6071,"ITE-NUC"
0.6282,"ITE-NUC"
0.6664,"ITE-NUC"
0.7065,"ITE-NUC"
0.6267,"ITE-NUC"
0.6429,"ITE-NUC"
0.6642,"ITE-NUC"
0.625,"ITE-NUC"
0.6575,"ITE-NUC"
0.665,"ITE-NUC"
0.6899,"ITE-NUC"
0.6359,"ITE-NUC"
0.6552,"ITE-NUC"
0.7423,"ITE-NUC"
0.6567,"ITE-NUC"
0.7021,"ITE-NUC"
0.7022,"ITE-NUC"
0.6977,"ITE-NUC"
0.6548,"ITE-NUC"
0.636,"ITE-NUC"
0.6156,"ITE-NUC"
0.7284,"ITE-NUC"
0.6449,"ITE-NUC"
0.6662,"ITE-NUC"
0.7456,"ITE-NUC"
0.6552,"ITE-NUC"
0.6813,"ITE-NUC"
0.6569,"ITE-NUC"
0.7957,"CSA-M"
0.8613,"CSA-M"
0.8142,"CSA-M"
0.8743,"CSA-M"
0.8515,"CSA-M"
0.9296,"CSA-M"
0.8933,"CSA-M"
0.863,"CSA-M"
0.8049,"CSA-M"
0.8365,"CSA-M"
0.8517,"CSA-M"
0.8649,"CSA-M"
0.8667,"CSA-M"
0.9165,"CSA-M"
0.8318,"CSA-M"
0.805,"CSA-M"
0.8196,"CSA-M"
0.8836,"CSA-M"
0.8654,"CSA-M"
0.8239,"CSA-M"
0.8479,"CSA-M"
0.8567,"CSA-M"
0.8182,"CSA-M"
0.8418,"CSA-M"
0.8516,"CSA-M"
0.8542,"CSA-M"
0.8717,"CSA-M"
0.8495,"CSA-M"
0.8383,"CSA-M"
0.7903,"CSA-M"
0.8389,"CSA-M"
0.8476,"CSA-M"
0.8721,"CSA-M"
0.8786,"CSA-M"
0.8472,"CSA-M"
0.8736,"CSA-M"
0.876,"CSA-M"
0.894,"CSA-M"
0.8697,"CSA-M"
0.8462,"CSA-M"
0.9058,"CSA-M"
0.8345,"CSA-M"
0.8482,"CSA-M"
0.865,"CSA-M"
0.8124,"CSA-M"
0.8818,"CSA-M"
0.8502,"CSA-M"
0.7724,"CSA-M"
0.8831,"CSA-M"
0.8427,"CSA-M"
0.8584,"CSA-Q"
0.8119,"CSA-Q"
0.852,"CSA-Q"
0.8602,"CSA-Q"
0.7936,"CSA-Q"
0.8714,"CSA-Q"
0.9107,"CSA-Q"
0.8616,"CSA-Q"
0.8752,"CSA-Q"
0.8678,"CSA-Q"
0.835,"CSA-Q"
0.8183,"CSA-Q"
0.8313,"CSA-Q"
0.8911,"CSA-Q"
0.8587,"CSA-Q"
0.7852,"CSA-Q"
0.8489,"CSA-Q"
0.873,"CSA-Q"
0.8884,"CSA-Q"
0.8469,"CSA-Q"
0.9005,"CSA-Q"
0.8744,"CSA-Q"
0.8614,"CSA-Q"
0.8502,"CSA-Q"
0.9109,"CSA-Q"
0.8877,"CSA-Q"
0.8436,"CSA-Q"
0.8729,"CSA-Q"
0.8617,"CSA-Q"
0.8876,"CSA-Q"
0.877,"CSA-Q"
0.9044,"CSA-Q"
0.8959,"CSA-Q"
0.8688,"CSA-Q"
0.8719,"CSA-Q"
0.8645,"CSA-Q"
0.9159,"CSA-Q"
0.8763,"CSA-Q"
0.874,"CSA-Q"
0.8808,"CSA-Q"
0.8696,"CSA-Q"
0.8073,"CSA-Q"
0.8753,"CSA-Q"
0.8962,"CSA-Q"
0.8307,"CSA-Q"
0.8565,"CSA-Q"
0.876,"CSA-Q"
0.856,"CSA-Q"
0.8707,"CSA-Q"
0.8252,"CSA-Q"
