"Interval_length","group"
2.4727430874581,"ITE-NUC"
2.59317135549118,"ITE-NUC"
2.65721783375831,"ITE-NUC"
2.61245781468296,"ITE-NUC"
2.87372047222977,"ITE-NUC"
2.66355326816805,"ITE-NUC"
2.67776646957794,"ITE-NUC"
2.85437171280303,"ITE-NUC"
2.49503687790923,"ITE-NUC"
2.79095417223139,"ITE-NUC"
2.81134846511939,"ITE-NUC"
2.51028861130379,"ITE-NUC"
2.94551908237006,"ITE-NUC"
2.54992323236005,"ITE-NUC"
2.59213239869771,"ITE-NUC"
2.78720009503028,"ITE-NUC"
2.52534735181815,"ITE-NUC"
2.55996010315973,"ITE-NUC"
2.75238519452793,"ITE-NUC"
2.82105872035453,"ITE-NUC"
2.44249789082921,"ITE-NUC"
2.88720950376852,"ITE-NUC"
2.48065875029078,"ITE-NUC"
2.59108541184364,"ITE-NUC"
2.86022992238351,"ITE-NUC"
2.55748578955463,"ITE-NUC"
2.755462939738,"ITE-NUC"
2.77296617697355,"ITE-NUC"
2.52598350689242,"ITE-NUC"
2.6033639258511,"ITE-NUC"
2.62255104256733,"ITE-NUC"
2.7429702424072,"ITE-NUC"
2.71963516204636,"ITE-NUC"
2.90840425292354,"ITE-NUC"
2.59000890481929,"ITE-NUC"
2.67125404858682,"ITE-NUC"
2.71796662346929,"ITE-NUC"
2.76062237589054,"ITE-NUC"
2.80142413732487,"ITE-NUC"
2.67271192149055,"ITE-NUC"
2.86539557296251,"ITE-NUC"
2.45222612478483,"ITE-NUC"
2.6454564334011,"ITE-NUC"
2.6155387510387,"ITE-NUC"
2.41386921502869,"ITE-NUC"
2.50832233106321,"ITE-NUC"
2.58067416773967,"ITE-NUC"
2.61854015218943,"ITE-NUC"
2.46504933023558,"ITE-NUC"
2.87118543304122,"ITE-NUC"
3.66902049178954,"CSA-M"
3.97543471950042,"CSA-M"
4.24623722152555,"CSA-M"
4.45575737529485,"CSA-M"
3.92376514330015,"CSA-M"
4.69213131943271,"CSA-M"
4.38160685799288,"CSA-M"
4.59742634810298,"CSA-M"
4.12148697665248,"CSA-M"
4.08986339051716,"CSA-M"
4.11668603228301,"CSA-M"
4.57356397395777,"CSA-M"
4.24993714993049,"CSA-M"
3.6905185940691,"CSA-M"
4.36085417887686,"CSA-M"
4.11361173669254,"CSA-M"
3.63429186731189,"CSA-M"
4.83665178051283,"CSA-M"
4.32627348781962,"CSA-M"
4.64415709684178,"CSA-M"
4.40351805604592,"CSA-M"
3.88052302279526,"CSA-M"
4.35279382487426,"CSA-M"
3.79485487380031,"CSA-M"
4.25996943567092,"CSA-M"
4.14942306848328,"CSA-M"
4.73219744434698,"CSA-M"
3.75587660164709,"CSA-M"
4.41932155074501,"CSA-M"
4.23781097782351,"CSA-M"
4.08400853988959,"CSA-M"
4.5812312026946,"CSA-M"
4.36286561208567,"CSA-M"
4.00243198324509,"CSA-M"
4.42767415948808,"CSA-M"
4.22396605094321,"CSA-M"
4.71750076767217,"CSA-M"
4.46224487066547,"CSA-M"
4.07464909275547,"CSA-M"
4.64051158125294,"CSA-M"
3.72931460648897,"CSA-M"
3.87015150389922,"CSA-M"
3.88940727172796,"CSA-M"
4.93173129949992,"CSA-M"
4.54999517365091,"CSA-M"
4.08428843083203,"CSA-M"
4.64246781436132,"CSA-M"
3.89934597189829,"CSA-M"
4.47513183069027,"CSA-M"
3.8904363426852,"CSA-M"
4.16809754347821,"CSA-Q"
4.33849229578329,"CSA-Q"
4.2728302222886,"CSA-Q"
4.56055136113418,"CSA-Q"
3.94452210958563,"CSA-Q"
4.46697601803243,"CSA-Q"
3.99080191075277,"CSA-Q"
4.40217460090956,"CSA-Q"
4.156460893608,"CSA-Q"
4.12601785365609,"CSA-Q"
4.15967086836697,"CSA-Q"
3.9239926291344,"CSA-Q"
4.13535353199423,"CSA-Q"
4.3215740031587,"CSA-Q"
4.23997055368342,"CSA-Q"
4.48559691427549,"CSA-Q"
4.26337435122084,"CSA-Q"
4.7391168102013,"CSA-Q"
4.43701807995059,"CSA-Q"
4.18250266775723,"CSA-Q"
4.53310396389698,"CSA-Q"
4.72473080501661,"CSA-Q"
3.82248296411867,"CSA-Q"
4.16031006818673,"CSA-Q"
4.53372127884406,"CSA-Q"
4.26205848595743,"CSA-Q"
4.03277648829225,"CSA-Q"
4.36258449754317,"CSA-Q"
4.15068876256642,"CSA-Q"
4.52894322399262,"CSA-Q"
4.08257554123485,"CSA-Q"
4.05261563054932,"CSA-Q"
4.56126217098675,"CSA-Q"
4.28605498675312,"CSA-Q"
4.6939900877828,"CSA-Q"
4.5478864687518,"CSA-Q"
3.79101471481105,"CSA-Q"
4.50907033525039,"CSA-Q"
4.22815698903144,"CSA-Q"
4.29575136501908,"CSA-Q"
3.76133005682579,"CSA-Q"
4.37667032748201,"CSA-Q"
4.77257636369646,"CSA-Q"
4.25232515730035,"CSA-Q"
3.99680436513751,"CSA-Q"
4.19801988569662,"CSA-Q"
4.03821223856903,"CSA-Q"
4.016245278244,"CSA-Q"
4.39391349739486,"CSA-Q"
4.00145675696722,"CSA-Q"
