"Coverage","group"
0.6886,"ITE-NUC"
0.6425,"ITE-NUC"
0.6398,"ITE-NUC"
0.6102,"ITE-NUC"
0.5979,"ITE-NUC"
0.6362,"ITE-NUC"
0.6329,"ITE-NUC"
0.6234,"ITE-NUC"
0.6256,"ITE-NUC"
0.6431,"ITE-NUC"
0.6341,"ITE-NUC"
0.6132,"ITE-NUC"
0.6616,"ITE-NUC"
0.6739,"ITE-NUC"
0.6481,"ITE-NUC"
0.6353,"ITE-NUC"
0.5456,"ITE-NUC"
0.688,"ITE-NUC"
0.6567,"ITE-NUC"
0.5896,"ITE-NUC"
0.6851,"ITE-NUC"
0.6661,"ITE-NUC"
0.5884,"ITE-NUC"
0.5846,"ITE-NUC"
0.6442,"ITE-NUC"
0.7028,"ITE-NUC"
0.5832,"ITE-NUC"
0.6642,"ITE-NUC"
0.6084,"ITE-NUC"
0.5926,"ITE-NUC"
0.5692,"ITE-NUC"
0.6532,"ITE-NUC"
0.6253,"ITE-NUC"
0.6597,"ITE-NUC"
0.6522,"ITE-NUC"
0.6609,"ITE-NUC"
0.6497,"ITE-NUC"
0.6097,"ITE-NUC"
0.6061,"ITE-NUC"
0.6649,"ITE-NUC"
0.6927,"ITE-NUC"
0.6319,"ITE-NUC"
0.6455,"ITE-NUC"
0.6051,"ITE-NUC"
0.6101,"ITE-NUC"
0.61,"ITE-NUC"
0.687,"ITE-NUC"
0.6828,"ITE-NUC"
0.5563,"ITE-NUC"
0.6125,"ITE-NUC"
0.9024,"CSA-M"
0.8719,"CSA-M"
0.8743,"CSA-M"
0.9172,"CSA-M"
0.9059,"CSA-M"
0.8565,"CSA-M"
0.8884,"CSA-M"
0.868,"CSA-M"
0.9106,"CSA-M"
0.8768,"CSA-M"
0.9065,"CSA-M"
0.8897,"CSA-M"
0.8346,"CSA-M"
0.8857,"CSA-M"
0.8687,"CSA-M"
0.8105,"CSA-M"
0.8714,"CSA-M"
0.8716,"CSA-M"
0.8752,"CSA-M"
0.8525,"CSA-M"
0.8753,"CSA-M"
0.8767,"CSA-M"
0.8633,"CSA-M"
0.8751,"CSA-M"
0.8905,"CSA-M"
0.8583,"CSA-M"
0.8434,"CSA-M"
0.8647,"CSA-M"
0.8432,"CSA-M"
0.8692,"CSA-M"
0.8597,"CSA-M"
0.9178,"CSA-M"
0.9079,"CSA-M"
0.9066,"CSA-M"
0.9136,"CSA-M"
0.8877,"CSA-M"
0.8711,"CSA-M"
0.8722,"CSA-M"
0.8449,"CSA-M"
0.8826,"CSA-M"
0.9205,"CSA-M"
0.7804,"CSA-M"
0.8443,"CSA-M"
0.8778,"CSA-M"
0.8264,"CSA-M"
0.8454,"CSA-M"
0.904,"CSA-M"
0.8837,"CSA-M"
0.8863,"CSA-M"
0.877,"CSA-M"
0.8708,"CSA-Q"
0.8566,"CSA-Q"
0.8525,"CSA-Q"
0.9056,"CSA-Q"
0.88,"CSA-Q"
0.8984,"CSA-Q"
0.8171,"CSA-Q"
0.895,"CSA-Q"
0.8901,"CSA-Q"
0.8749,"CSA-Q"
0.8829,"CSA-Q"
0.8238,"CSA-Q"
0.8771,"CSA-Q"
0.9209,"CSA-Q"
0.9005,"CSA-Q"
0.867,"CSA-Q"
0.8867,"CSA-Q"
0.8234,"CSA-Q"
0.8964,"CSA-Q"
0.8276,"CSA-Q"
0.8436,"CSA-Q"
0.8837,"CSA-Q"
0.8614,"CSA-Q"
0.8365,"CSA-Q"
0.8173,"CSA-Q"
0.8569,"CSA-Q"
0.7844,"CSA-Q"
0.9038,"CSA-Q"
0.8569,"CSA-Q"
0.8976,"CSA-Q"
0.8564,"CSA-Q"
0.8204,"CSA-Q"
0.9044,"CSA-Q"
0.885,"CSA-Q"
0.8677,"CSA-Q"
0.9196,"CSA-Q"
0.835,"CSA-Q"
0.8959,"CSA-Q"
0.8091,"CSA-Q"
0.8488,"CSA-Q"
0.9409,"CSA-Q"
0.8319,"CSA-Q"
0.8644,"CSA-Q"
0.8227,"CSA-Q"
0.8307,"CSA-Q"
0.7984,"CSA-Q"
0.9043,"CSA-Q"
0.8524,"CSA-Q"
0.8242,"CSA-Q"
0.8397,"CSA-Q"
