"Interval_length","group"
2.91153661679799,"ITE-NUC"
2.69628382630543,"ITE-NUC"
2.71181455330764,"ITE-NUC"
2.58675228093775,"ITE-NUC"
2.51378978622726,"ITE-NUC"
2.67632732552741,"ITE-NUC"
2.68971728182544,"ITE-NUC"
2.59886126082794,"ITE-NUC"
2.64789966322061,"ITE-NUC"
2.68753709847072,"ITE-NUC"
2.66618636136254,"ITE-NUC"
2.54396235677451,"ITE-NUC"
2.82899871898655,"ITE-NUC"
2.8440799546483,"ITE-NUC"
2.70806780251282,"ITE-NUC"
2.69247319676669,"ITE-NUC"
2.27253303891997,"ITE-NUC"
2.93682751428623,"ITE-NUC"
2.79016638612653,"ITE-NUC"
2.46291296987189,"ITE-NUC"
2.9262265359508,"ITE-NUC"
2.78974975713783,"ITE-NUC"
2.45657359138292,"ITE-NUC"
2.46804959961301,"ITE-NUC"
2.71332836368379,"ITE-NUC"
3.03149425633414,"ITE-NUC"
2.43994114840771,"ITE-NUC"
2.82329710501134,"ITE-NUC"
2.54167726701311,"ITE-NUC"
2.49219057320206,"ITE-NUC"
2.41484584189427,"ITE-NUC"
2.772929150924,"ITE-NUC"
2.62531036905378,"ITE-NUC"
2.78578599370906,"ITE-NUC"
2.72242833400783,"ITE-NUC"
2.80496577110409,"ITE-NUC"
2.74466515680355,"ITE-NUC"
2.53068290899723,"ITE-NUC"
2.55521845343618,"ITE-NUC"
2.81582897895139,"ITE-NUC"
2.95499221356339,"ITE-NUC"
2.61038332849987,"ITE-NUC"
2.71655919927804,"ITE-NUC"
2.53309240181398,"ITE-NUC"
2.56707089305305,"ITE-NUC"
2.60866409334208,"ITE-NUC"
2.94924385414126,"ITE-NUC"
2.8722209247049,"ITE-NUC"
2.32505886535448,"ITE-NUC"
2.55831259763368,"ITE-NUC"
4.39163742983829,"CSA-M"
4.1040746155924,"CSA-M"
4.1279191158889,"CSA-M"
4.67431532822666,"CSA-M"
4.42057414818871,"CSA-M"
3.96056217488398,"CSA-M"
4.30024492122844,"CSA-M"
3.98753658708566,"CSA-M"
4.54176895465384,"CSA-M"
4.16366758410815,"CSA-M"
4.49369080705443,"CSA-M"
4.24651968969516,"CSA-M"
3.81815622338241,"CSA-M"
4.26646075076256,"CSA-M"
4.08580715335544,"CSA-M"
3.63938462218733,"CSA-M"
4.13850126847839,"CSA-M"
4.12168974650578,"CSA-M"
4.17021593327212,"CSA-M"
3.93453327286871,"CSA-M"
4.17923034867828,"CSA-M"
4.1165452572847,"CSA-M"
4.08496358571811,"CSA-M"
4.17378008349021,"CSA-M"
4.33015443292453,"CSA-M"
4.00927675394068,"CSA-M"
3.84971596299683,"CSA-M"
4.0566621520567,"CSA-M"
3.8807170160508,"CSA-M"
4.06702983259086,"CSA-M"
4.03477768799985,"CSA-M"
4.62269178041301,"CSA-M"
4.43277672849606,"CSA-M"
4.44653672095244,"CSA-M"
4.51330593283472,"CSA-M"
4.2122624387504,"CSA-M"
4.09623452782462,"CSA-M"
4.08064873184064,"CSA-M"
3.9268820492802,"CSA-M"
4.23894667473054,"CSA-M"
4.67644809044529,"CSA-M"
3.42041417242104,"CSA-M"
3.84577113070308,"CSA-M"
4.18207616396093,"CSA-M"
3.70469023114704,"CSA-M"
3.97241937752737,"CSA-M"
4.45670317162426,"CSA-M"
4.25352043929874,"CSA-M"
4.28281100272883,"CSA-M"
4.14827151410229,"CSA-M"
4.13204933942569,"CSA-Q"
3.96514634075053,"CSA-Q"
3.94505180177164,"CSA-Q"
4.499671000192,"CSA-Q"
4.13933126775394,"CSA-Q"
4.3892970118897,"CSA-Q"
3.73029950811239,"CSA-Q"
4.26166809073484,"CSA-Q"
4.37588662694985,"CSA-Q"
4.12964683571845,"CSA-Q"
4.24945258416029,"CSA-Q"
3.69057030046519,"CSA-Q"
4.16898422561853,"CSA-Q"
4.69961550275733,"CSA-Q"
4.4229422190854,"CSA-Q"
4.10251825431191,"CSA-Q"
4.28144107293558,"CSA-Q"
3.77616595068307,"CSA-Q"
4.40084382393043,"CSA-Q"
3.74510653009199,"CSA-Q"
3.97380697202387,"CSA-Q"
4.20387881939031,"CSA-Q"
4.07275968635664,"CSA-Q"
3.85240858517431,"CSA-Q"
3.69672801174489,"CSA-Q"
3.96962184179043,"CSA-Q"
3.4626741383283,"CSA-Q"
4.4756034899023,"CSA-Q"
4.00451525491166,"CSA-Q"
4.37033765407993,"CSA-Q"
4.03070022776147,"CSA-Q"
3.74986354781636,"CSA-Q"
4.4762583906876,"CSA-Q"
4.25307515075435,"CSA-Q"
4.07041392152028,"CSA-Q"
4.62496549309596,"CSA-Q"
3.81372893584547,"CSA-Q"
4.32709508534803,"CSA-Q"
3.63320654692074,"CSA-Q"
3.95604025073798,"CSA-Q"
5.10635190104914,"CSA-Q"
3.80668727142663,"CSA-Q"
4.02734744807505,"CSA-Q"
3.7362365873517,"CSA-Q"
3.75160629695114,"CSA-Q"
3.62577654782539,"CSA-Q"
4.42111854670327,"CSA-Q"
3.94561310896637,"CSA-Q"
3.71573593354757,"CSA-Q"
3.83517251342577,"CSA-Q"
