"Interval_length","group"
2.81527737529707,"ITE-NUC"
2.87587889223275,"ITE-NUC"
2.646503918793,"ITE-NUC"
2.85796176962341,"ITE-NUC"
2.80277437366399,"ITE-NUC"
2.75327977124156,"ITE-NUC"
2.68787462092284,"ITE-NUC"
2.62576789259511,"ITE-NUC"
2.60733843276864,"ITE-NUC"
2.93703358987002,"ITE-NUC"
2.74581792326894,"ITE-NUC"
2.61843220295805,"ITE-NUC"
2.93885690861527,"ITE-NUC"
2.59185148471985,"ITE-NUC"
2.70151284958735,"ITE-NUC"
2.50664821716198,"ITE-NUC"
2.7542374161731,"ITE-NUC"
2.69168221696479,"ITE-NUC"
2.73353819409811,"ITE-NUC"
2.65607795174584,"ITE-NUC"
2.77642165711758,"ITE-NUC"
2.63853082995676,"ITE-NUC"
2.6965175679816,"ITE-NUC"
2.62712863786429,"ITE-NUC"
3.02624017850611,"ITE-NUC"
2.78634127428025,"ITE-NUC"
2.65341502183602,"ITE-NUC"
2.80223671119893,"ITE-NUC"
2.74421089529845,"ITE-NUC"
2.88433970995703,"ITE-NUC"
2.87553537206991,"ITE-NUC"
3.12778028581724,"ITE-NUC"
2.61416658565856,"ITE-NUC"
2.5457433681937,"ITE-NUC"
2.67889849190177,"ITE-NUC"
2.36250736556126,"ITE-NUC"
2.55701657141877,"ITE-NUC"
2.58489829619915,"ITE-NUC"
2.63960290743241,"ITE-NUC"
2.66668221811251,"ITE-NUC"
2.67661193888019,"ITE-NUC"
2.56372018697267,"ITE-NUC"
2.99360197974223,"ITE-NUC"
2.74284906410758,"ITE-NUC"
2.79288285765241,"ITE-NUC"
2.69097673565959,"ITE-NUC"
2.49275632848313,"ITE-NUC"
2.61438815340318,"ITE-NUC"
2.7765682009927,"ITE-NUC"
2.61328849477773,"ITE-NUC"
3.145636473954,"CSA-M"
3.12530474880967,"CSA-M"
2.94478912286026,"CSA-M"
3.29471679166996,"CSA-M"
3.09790085402975,"CSA-M"
3.10317022879597,"CSA-M"
3.16316439169141,"CSA-M"
3.24518013797551,"CSA-M"
3.0476955425108,"CSA-M"
2.93879779856107,"CSA-M"
3.2980572328048,"CSA-M"
2.8997915161147,"CSA-M"
3.16058327408914,"CSA-M"
3.02599385742809,"CSA-M"
3.35848936331373,"CSA-M"
3.17132948159708,"CSA-M"
3.19501453093194,"CSA-M"
3.06299263211201,"CSA-M"
3.11719972970576,"CSA-M"
3.1922997380202,"CSA-M"
2.87768365058101,"CSA-M"
3.10437592280763,"CSA-M"
2.89537019120821,"CSA-M"
2.94499010835684,"CSA-M"
3.45699854082845,"CSA-M"
3.32156819271668,"CSA-M"
3.31771348680117,"CSA-M"
3.46636847799751,"CSA-M"
3.15532511186414,"CSA-M"
3.287526773091,"CSA-M"
3.24258284743218,"CSA-M"
2.97401642463897,"CSA-M"
3.09266571657305,"CSA-M"
3.26854807771099,"CSA-M"
3.13952898679893,"CSA-M"
2.89357711959178,"CSA-M"
2.84568219684426,"CSA-M"
3.03979753115651,"CSA-M"
3.47612955135854,"CSA-M"
3.37911520412243,"CSA-M"
3.06935479858294,"CSA-M"
2.87863396241069,"CSA-M"
2.93256051592899,"CSA-M"
3.09279641434744,"CSA-M"
3.18741727537747,"CSA-M"
3.25665979492124,"CSA-M"
3.05510128523376,"CSA-M"
3.17718507404495,"CSA-M"
3.39215508226341,"CSA-M"
3.4045920073415,"CSA-M"
3.71521542656075,"CSA-Q"
3.24950489512974,"CSA-Q"
3.57056857313487,"CSA-Q"
3.55466577408182,"CSA-Q"
3.84894596397456,"CSA-Q"
3.68065037631915,"CSA-Q"
3.50080568991648,"CSA-Q"
3.45103499988315,"CSA-Q"
3.40916614978294,"CSA-Q"
3.31660658301447,"CSA-Q"
3.41534700338791,"CSA-Q"
3.23948290406978,"CSA-Q"
3.51321405779668,"CSA-Q"
3.20038656128082,"CSA-Q"
3.82140764072645,"CSA-Q"
3.36986381583461,"CSA-Q"
3.54110013233551,"CSA-Q"
3.28852864386204,"CSA-Q"
3.56811721274133,"CSA-Q"
3.7584955474688,"CSA-Q"
3.33323237549292,"CSA-Q"
3.39425098174997,"CSA-Q"
3.41132208132841,"CSA-Q"
3.21983541225762,"CSA-Q"
3.46857228014315,"CSA-Q"
3.53703009169919,"CSA-Q"
3.400213173441,"CSA-Q"
3.25798842306375,"CSA-Q"
3.45855613133161,"CSA-Q"
3.2571772560562,"CSA-Q"
3.624741508251,"CSA-Q"
3.16775983003268,"CSA-Q"
3.08087330023418,"CSA-Q"
3.57348710750249,"CSA-Q"
3.29094353302716,"CSA-Q"
3.39763885861174,"CSA-Q"
3.39791295235335,"CSA-Q"
3.15058396666518,"CSA-Q"
3.25300978984606,"CSA-Q"
3.56394805113897,"CSA-Q"
3.21566111415919,"CSA-Q"
3.38221535876448,"CSA-Q"
3.20126405918608,"CSA-Q"
3.24890444852961,"CSA-Q"
3.30496043439863,"CSA-Q"
3.54929043640535,"CSA-Q"
3.50591378153665,"CSA-Q"
3.37250884378871,"CSA-Q"
3.26249068544767,"CSA-Q"
3.76181183190011,"CSA-Q"
