"Coverage","group"
0.553,"ITE-NUC"
0.5382,"ITE-NUC"
0.545,"ITE-NUC"
0.6353,"ITE-NUC"
0.5686,"ITE-NUC"
0.612,"ITE-NUC"
0.5668,"ITE-NUC"
0.5753,"ITE-NUC"
0.537,"ITE-NUC"
0.5227,"ITE-NUC"
0.6115,"ITE-NUC"
0.6177,"ITE-NUC"
0.6068,"ITE-NUC"
0.5661,"ITE-NUC"
0.5199,"ITE-NUC"
0.5798,"ITE-NUC"
0.5415,"ITE-NUC"
0.5476,"ITE-NUC"
0.4832,"ITE-NUC"
0.5519,"ITE-NUC"
0.5624,"ITE-NUC"
0.5955,"ITE-NUC"
0.5446,"ITE-NUC"
0.6496,"ITE-NUC"
0.55,"ITE-NUC"
0.5323,"ITE-NUC"
0.6475,"ITE-NUC"
0.5315,"ITE-NUC"
0.5485,"ITE-NUC"
0.495,"ITE-NUC"
0.5756,"ITE-NUC"
0.5836,"ITE-NUC"
0.5624,"ITE-NUC"
0.5342,"ITE-NUC"
0.5553,"ITE-NUC"
0.6387,"ITE-NUC"
0.5483,"ITE-NUC"
0.5644,"ITE-NUC"
0.5396,"ITE-NUC"
0.6297,"ITE-NUC"
0.5262,"ITE-NUC"
0.5575,"ITE-NUC"
0.5713,"ITE-NUC"
0.5092,"ITE-NUC"
0.6132,"ITE-NUC"
0.5788,"ITE-NUC"
0.5308,"ITE-NUC"
0.5168,"ITE-NUC"
0.5962,"ITE-NUC"
0.5116,"ITE-NUC"
0.845,"CSA-M"
0.8824,"CSA-M"
0.8679,"CSA-M"
0.8356,"CSA-M"
0.8579,"CSA-M"
0.8196,"CSA-M"
0.8711,"CSA-M"
0.9031,"CSA-M"
0.9064,"CSA-M"
0.8127,"CSA-M"
0.8465,"CSA-M"
0.833,"CSA-M"
0.8677,"CSA-M"
0.9176,"CSA-M"
0.8602,"CSA-M"
0.8577,"CSA-M"
0.8786,"CSA-M"
0.8945,"CSA-M"
0.8605,"CSA-M"
0.8686,"CSA-M"
0.8503,"CSA-M"
0.8723,"CSA-M"
0.8565,"CSA-M"
0.8554,"CSA-M"
0.8797,"CSA-M"
0.7815,"CSA-M"
0.8431,"CSA-M"
0.8839,"CSA-M"
0.8308,"CSA-M"
0.8697,"CSA-M"
0.8507,"CSA-M"
0.8563,"CSA-M"
0.854,"CSA-M"
0.7709,"CSA-M"
0.8715,"CSA-M"
0.8855,"CSA-M"
0.8895,"CSA-M"
0.8768,"CSA-M"
0.8169,"CSA-M"
0.9277,"CSA-M"
0.8309,"CSA-M"
0.8946,"CSA-M"
0.8961,"CSA-M"
0.8368,"CSA-M"
0.8239,"CSA-M"
0.9052,"CSA-M"
0.9146,"CSA-M"
0.8548,"CSA-M"
0.8302,"CSA-M"
0.815,"CSA-M"
0.8665,"CSA-Q"
0.8204,"CSA-Q"
0.8958,"CSA-Q"
0.871,"CSA-Q"
0.8596,"CSA-Q"
0.8689,"CSA-Q"
0.8958,"CSA-Q"
0.8841,"CSA-Q"
0.9142,"CSA-Q"
0.8714,"CSA-Q"
0.9176,"CSA-Q"
0.8541,"CSA-Q"
0.8735,"CSA-Q"
0.8859,"CSA-Q"
0.838,"CSA-Q"
0.8613,"CSA-Q"
0.7979,"CSA-Q"
0.8947,"CSA-Q"
0.9094,"CSA-Q"
0.8785,"CSA-Q"
0.9029,"CSA-Q"
0.9067,"CSA-Q"
0.9053,"CSA-Q"
0.8734,"CSA-Q"
0.9223,"CSA-Q"
0.8845,"CSA-Q"
0.8926,"CSA-Q"
0.8506,"CSA-Q"
0.8013,"CSA-Q"
0.8621,"CSA-Q"
0.8744,"CSA-Q"
0.8164,"CSA-Q"
0.896,"CSA-Q"
0.9035,"CSA-Q"
0.8756,"CSA-Q"
0.903,"CSA-Q"
0.8696,"CSA-Q"
0.8395,"CSA-Q"
0.8839,"CSA-Q"
0.8899,"CSA-Q"
0.8528,"CSA-Q"
0.865,"CSA-Q"
0.8675,"CSA-Q"
0.8723,"CSA-Q"
0.8813,"CSA-Q"
0.9188,"CSA-Q"
0.861,"CSA-Q"
0.8716,"CSA-Q"
0.8771,"CSA-Q"
0.8497,"CSA-Q"
