"Coverage","group"
0.5135,"ITE-NUC"
0.4906,"ITE-NUC"
0.5754,"ITE-NUC"
0.5685,"ITE-NUC"
0.6113,"ITE-NUC"
0.5612,"ITE-NUC"
0.4542,"ITE-NUC"
0.4726,"ITE-NUC"
0.5408,"ITE-NUC"
0.4961,"ITE-NUC"
0.5445,"ITE-NUC"
0.5534,"ITE-NUC"
0.5279,"ITE-NUC"
0.5564,"ITE-NUC"
0.5333,"ITE-NUC"
0.5271,"ITE-NUC"
0.5379,"ITE-NUC"
0.5543,"ITE-NUC"
0.5405,"ITE-NUC"
0.5945,"ITE-NUC"
0.5004,"ITE-NUC"
0.5464,"ITE-NUC"
0.4914,"ITE-NUC"
0.4698,"ITE-NUC"
0.5543,"ITE-NUC"
0.4895,"ITE-NUC"
0.543,"ITE-NUC"
0.5396,"ITE-NUC"
0.5596,"ITE-NUC"
0.479,"ITE-NUC"
0.6315,"ITE-NUC"
0.4758,"ITE-NUC"
0.5114,"ITE-NUC"
0.5172,"ITE-NUC"
0.5283,"ITE-NUC"
0.5584,"ITE-NUC"
0.626,"ITE-NUC"
0.5246,"ITE-NUC"
0.5852,"ITE-NUC"
0.5008,"ITE-NUC"
0.5766,"ITE-NUC"
0.5712,"ITE-NUC"
0.4639,"ITE-NUC"
0.5347,"ITE-NUC"
0.5491,"ITE-NUC"
0.5419,"ITE-NUC"
0.5775,"ITE-NUC"
0.5243,"ITE-NUC"
0.5787,"ITE-NUC"
0.5542,"ITE-NUC"
0.9505,"CSA-M"
0.8084,"CSA-M"
0.916,"CSA-M"
0.8465,"CSA-M"
0.8547,"CSA-M"
0.8603,"CSA-M"
0.8187,"CSA-M"
0.8644,"CSA-M"
0.9,"CSA-M"
0.8488,"CSA-M"
0.8484,"CSA-M"
0.8674,"CSA-M"
0.8694,"CSA-M"
0.9129,"CSA-M"
0.8287,"CSA-M"
0.8285,"CSA-M"
0.8212,"CSA-M"
0.8451,"CSA-M"
0.7792,"CSA-M"
0.8683,"CSA-M"
0.9514,"CSA-M"
0.914,"CSA-M"
0.8312,"CSA-M"
0.8521,"CSA-M"
0.878,"CSA-M"
0.8877,"CSA-M"
0.8969,"CSA-M"
0.8653,"CSA-M"
0.8577,"CSA-M"
0.8017,"CSA-M"
0.8993,"CSA-M"
0.859,"CSA-M"
0.8902,"CSA-M"
0.8605,"CSA-M"
0.8888,"CSA-M"
0.9214,"CSA-M"
0.8891,"CSA-M"
0.8447,"CSA-M"
0.8268,"CSA-M"
0.9118,"CSA-M"
0.8665,"CSA-M"
0.8684,"CSA-M"
0.8956,"CSA-M"
0.8294,"CSA-M"
0.8914,"CSA-M"
0.8458,"CSA-M"
0.832,"CSA-M"
0.881,"CSA-M"
0.9162,"CSA-M"
0.8899,"CSA-M"
0.8615,"CSA-Q"
0.8034,"CSA-Q"
0.9251,"CSA-Q"
0.8983,"CSA-Q"
0.8213,"CSA-Q"
0.9137,"CSA-Q"
0.7803,"CSA-Q"
0.8936,"CSA-Q"
0.8788,"CSA-Q"
0.8895,"CSA-Q"
0.8673,"CSA-Q"
0.8734,"CSA-Q"
0.8886,"CSA-Q"
0.8967,"CSA-Q"
0.8809,"CSA-Q"
0.8579,"CSA-Q"
0.8722,"CSA-Q"
0.877,"CSA-Q"
0.8649,"CSA-Q"
0.8769,"CSA-Q"
0.8929,"CSA-Q"
0.8818,"CSA-Q"
0.8846,"CSA-Q"
0.8829,"CSA-Q"
0.8265,"CSA-Q"
0.8712,"CSA-Q"
0.8621,"CSA-Q"
0.9119,"CSA-Q"
0.8222,"CSA-Q"
0.7935,"CSA-Q"
0.8534,"CSA-Q"
0.8436,"CSA-Q"
0.8656,"CSA-Q"
0.8826,"CSA-Q"
0.9276,"CSA-Q"
0.8627,"CSA-Q"
0.8776,"CSA-Q"
0.833,"CSA-Q"
0.8265,"CSA-Q"
0.9178,"CSA-Q"
0.845,"CSA-Q"
0.8732,"CSA-Q"
0.8793,"CSA-Q"
0.8554,"CSA-Q"
0.8667,"CSA-Q"
0.8946,"CSA-Q"
0.8874,"CSA-Q"
0.8598,"CSA-Q"
0.8991,"CSA-Q"
0.8605,"CSA-Q"
