"Interval_length","group"
2.63724727013311,"ITE-NUC"
2.49626508098754,"ITE-NUC"
2.82425427220769,"ITE-NUC"
2.80934305376956,"ITE-NUC"
2.93185278729222,"ITE-NUC"
2.77733247882668,"ITE-NUC"
2.33580052275795,"ITE-NUC"
2.41637446848735,"ITE-NUC"
2.68458399546146,"ITE-NUC"
2.51160916408885,"ITE-NUC"
2.69796859820563,"ITE-NUC"
2.75582814848655,"ITE-NUC"
2.60112894221851,"ITE-NUC"
2.74652253819375,"ITE-NUC"
2.65822653064322,"ITE-NUC"
2.66146891925168,"ITE-NUC"
2.65041725078993,"ITE-NUC"
2.70296726266632,"ITE-NUC"
2.70007971562819,"ITE-NUC"
2.88259973161916,"ITE-NUC"
2.54546249367411,"ITE-NUC"
2.7370956014702,"ITE-NUC"
2.47571995554477,"ITE-NUC"
2.41945826156786,"ITE-NUC"
2.73172277636609,"ITE-NUC"
2.50016425361828,"ITE-NUC"
2.72148506419898,"ITE-NUC"
2.67040355566742,"ITE-NUC"
2.75914592277601,"ITE-NUC"
2.4495128735366,"ITE-NUC"
3.00737433664882,"ITE-NUC"
2.42595272444182,"ITE-NUC"
2.58842790521162,"ITE-NUC"
2.59520596916503,"ITE-NUC"
2.66740678148011,"ITE-NUC"
2.7612680584768,"ITE-NUC"
3.02599227285791,"ITE-NUC"
2.65130196877112,"ITE-NUC"
2.84572653035915,"ITE-NUC"
2.52970466987392,"ITE-NUC"
2.83442772260191,"ITE-NUC"
2.80699451594389,"ITE-NUC"
2.3867456506506,"ITE-NUC"
2.65163323165639,"ITE-NUC"
2.67046148981224,"ITE-NUC"
2.68990667722026,"ITE-NUC"
2.81770781605255,"ITE-NUC"
2.63799578175409,"ITE-NUC"
2.86713822326577,"ITE-NUC"
2.78381108128438,"ITE-NUC"
4.84188935979823,"CSA-M"
3.7483880712025,"CSA-M"
4.63144009801294,"CSA-M"
3.95610936839888,"CSA-M"
4.0592629780771,"CSA-M"
4.06845162640393,"CSA-M"
3.78438667035947,"CSA-M"
4.08724792059724,"CSA-M"
4.38352887922058,"CSA-M"
4.03050166384472,"CSA-M"
3.95648405427602,"CSA-M"
4.11348034994271,"CSA-M"
4.14077768620644,"CSA-M"
4.50597608531541,"CSA-M"
3.86417255842681,"CSA-M"
3.82567227821442,"CSA-M"
3.82083486845697,"CSA-M"
3.95559495414657,"CSA-M"
3.68774345411451,"CSA-M"
4.15995080483726,"CSA-M"
4.82412879139178,"CSA-M"
4.47289852525575,"CSA-M"
3.87784163371998,"CSA-M"
4.03650097063112,"CSA-M"
4.20118846834294,"CSA-M"
4.24052323226804,"CSA-M"
4.27992869791685,"CSA-M"
4.07850277361344,"CSA-M"
4.03268151292517,"CSA-M"
3.72227992393772,"CSA-M"
4.37887675524843,"CSA-M"
4.0630170767287,"CSA-M"
4.30510496189606,"CSA-M"
4.03236447875586,"CSA-M"
4.26794751340066,"CSA-M"
4.60760378924131,"CSA-M"
4.29322198255647,"CSA-M"
3.99839103867785,"CSA-M"
3.89184589102384,"CSA-M"
4.48268207134735,"CSA-M"
4.06162233982735,"CSA-M"
4.08778559345537,"CSA-M"
4.32136589550981,"CSA-M"
3.87818931072099,"CSA-M"
4.26848921558655,"CSA-M"
3.95687470149581,"CSA-M"
3.91207356780882,"CSA-M"
4.27300940329421,"CSA-M"
4.42628119566462,"CSA-M"
4.32026679381677,"CSA-M"
4.33181310814714,"CSA-Q"
3.86921529191938,"CSA-Q"
5.0383384677816,"CSA-Q"
4.61649885377663,"CSA-Q"
4.19340115545774,"CSA-Q"
4.7967784499389,"CSA-Q"
3.89083001466934,"CSA-Q"
4.52138484795836,"CSA-Q"
4.40705878697671,"CSA-Q"
4.61715839819076,"CSA-Q"
4.36120613723544,"CSA-Q"
4.3635833343984,"CSA-Q"
4.62237387562643,"CSA-Q"
4.72838892220554,"CSA-Q"
4.48950815102305,"CSA-Q"
4.27324644666801,"CSA-Q"
4.41355718441214,"CSA-Q"
4.48728691825275,"CSA-Q"
4.45774965124461,"CSA-Q"
4.48739174096041,"CSA-Q"
4.56432136044108,"CSA-Q"
4.48326789251816,"CSA-Q"
4.50603039549264,"CSA-Q"
4.50076714574414,"CSA-Q"
4.1786008417544,"CSA-Q"
4.48441545127495,"CSA-Q"
4.22532229675319,"CSA-Q"
4.799394035304,"CSA-Q"
4.10106653657607,"CSA-Q"
3.90800536953882,"CSA-Q"
4.21151526013456,"CSA-Q"
4.22544728463111,"CSA-Q"
4.39870535596889,"CSA-Q"
4.42547518213543,"CSA-Q"
5.02691137445329,"CSA-Q"
4.33837416550833,"CSA-Q"
4.5182243525634,"CSA-Q"
4.09596762361619,"CSA-Q"
4.08862411155559,"CSA-Q"
4.84259447149649,"CSA-Q"
4.15278271074528,"CSA-Q"
4.46009882800072,"CSA-Q"
4.44882598245544,"CSA-Q"
4.35687324639567,"CSA-Q"
4.31463905731327,"CSA-Q"
4.57415331412611,"CSA-Q"
4.52032965148688,"CSA-Q"
4.41330941380311,"CSA-Q"
4.61440043930851,"CSA-Q"
4.32403732331052,"CSA-Q"
