"Coverage","group"
0.8004,"CSA-M"
0.801,"CSA-M"
0.8041,"CSA-M"
0.8059,"CSA-M"
0.8028,"CSA-M"
0.8021,"CSA-M"
0.8015,"CSA-M"
0.8009,"CSA-M"
0.8001,"CSA-M"
0.8018,"CSA-M"
0.8038,"CSA-M"
0.8027,"CSA-M"
0.8025,"CSA-M"
0.7886,"CSA-M"
0.8007,"CSA-M"
0.8022,"CSA-M"
0.8038,"CSA-M"
0.7804,"CSA-M"
0.8029,"CSA-M"
0.778,"CSA-M"
0.8037,"CSA-M"
0.8011,"CSA-M"
0.8016,"CSA-M"
0.8018,"CSA-M"
0.801,"CSA-M"
0.805,"CSA-M"
0.8025,"CSA-M"
0.8002,"CSA-M"
0.7977,"CSA-M"
0.8001,"CSA-M"
0.799,"CSA-M"
0.793,"CSA-M"
0.8035,"CSA-M"
0.8028,"CSA-M"
0.8,"CSA-M"
0.8038,"CSA-M"
0.8019,"CSA-M"
0.8013,"CSA-M"
0.8026,"CSA-M"
0.8006,"CSA-M"
0.7701,"CSA-M"
0.8037,"CSA-M"
0.8043,"CSA-M"
0.803,"CSA-M"
0.8038,"CSA-M"
0.8013,"CSA-M"
0.8028,"CSA-M"
0.8009,"CSA-M"
0.8045,"CSA-M"
0.8018,"CSA-M"
0.8012,"CSA-Q"
0.8017,"CSA-Q"
0.8019,"CSA-Q"
0.8032,"CSA-Q"
0.8015,"CSA-Q"
0.8003,"CSA-Q"
0.8035,"CSA-Q"
0.8001,"CSA-Q"
0.8017,"CSA-Q"
0.8039,"CSA-Q"
0.8031,"CSA-Q"
0.7594,"CSA-Q"
0.8018,"CSA-Q"
0.8021,"CSA-Q"
0.8038,"CSA-Q"
0.8002,"CSA-Q"
0.802,"CSA-Q"
0.8001,"CSA-Q"
0.8025,"CSA-Q"
0.8021,"CSA-Q"
0.8034,"CSA-Q"
0.8027,"CSA-Q"
0.8039,"CSA-Q"
0.8009,"CSA-Q"
0.8018,"CSA-Q"
0.8028,"CSA-Q"
0.8002,"CSA-Q"
0.7878,"CSA-Q"
0.8018,"CSA-Q"
0.8043,"CSA-Q"
0.8015,"CSA-Q"
0.8016,"CSA-Q"
0.8033,"CSA-Q"
0.805,"CSA-Q"
0.8012,"CSA-Q"
0.8038,"CSA-Q"
0.803,"CSA-Q"
0.8046,"CSA-Q"
0.8022,"CSA-Q"
0.8032,"CSA-Q"
0.8018,"CSA-Q"
0.8022,"CSA-Q"
0.803,"CSA-Q"
0.8039,"CSA-Q"
0.8035,"CSA-Q"
0.8019,"CSA-Q"
0.8006,"CSA-Q"
0.7997,"CSA-Q"
0.8025,"CSA-Q"
0.7732,"CSA-Q"
