"Interval_length","group"
3.00916497505728,"CSA-M"
2.99551781938576,"CSA-M"
2.96652940466162,"CSA-M"
2.95026023626727,"CSA-M"
3.01856802413184,"CSA-M"
3.00258207988951,"CSA-M"
2.94640301212133,"CSA-M"
2.94361998700157,"CSA-M"
2.97116973594546,"CSA-M"
2.96466918051119,"CSA-M"
3.00276689036615,"CSA-M"
2.98775908804473,"CSA-M"
2.99836557003134,"CSA-M"
2.84558160141371,"CSA-M"
2.9964094850457,"CSA-M"
2.93249540854502,"CSA-M"
2.97530770588834,"CSA-M"
2.8301483236474,"CSA-M"
3.01882991265844,"CSA-M"
2.83812776619543,"CSA-M"
2.98266594294113,"CSA-M"
2.92443145049585,"CSA-M"
2.9699018192261,"CSA-M"
2.94626907669272,"CSA-M"
2.95502140394814,"CSA-M"
2.96086407567308,"CSA-M"
2.97218120453407,"CSA-M"
2.96076646932793,"CSA-M"
2.930974369688,"CSA-M"
2.96684548368714,"CSA-M"
3.0074255323444,"CSA-M"
2.9057759843211,"CSA-M"
2.94583938754458,"CSA-M"
2.97641340803023,"CSA-M"
2.9918993775527,"CSA-M"
2.9528986005882,"CSA-M"
3.09023653915798,"CSA-M"
2.96054833945793,"CSA-M"
3.03983186757278,"CSA-M"
2.95254851091597,"CSA-M"
2.79849311927054,"CSA-M"
3.01822512076311,"CSA-M"
3.02689274857373,"CSA-M"
3.00027837208217,"CSA-M"
2.95340218085793,"CSA-M"
2.99256230413264,"CSA-M"
2.95666266556936,"CSA-M"
2.98004329490194,"CSA-M"
2.97269155353825,"CSA-M"
2.99240789186406,"CSA-M"
3.00019458928172,"CSA-Q"
3.02861897954407,"CSA-Q"
2.98890888731093,"CSA-Q"
2.96273640444342,"CSA-Q"
3.02885817515121,"CSA-Q"
2.98224796819319,"CSA-Q"
2.96854637100147,"CSA-Q"
2.95883945947274,"CSA-Q"
3.03284950350827,"CSA-Q"
3.02441222183515,"CSA-Q"
3.02719503692257,"CSA-Q"
2.76010620783138,"CSA-Q"
2.99708839478362,"CSA-Q"
2.95317444219372,"CSA-Q"
3.0258020463621,"CSA-Q"
2.95177031698675,"CSA-Q"
2.99087865895129,"CSA-Q"
2.96791649869293,"CSA-Q"
3.01017570026449,"CSA-Q"
2.97646062450151,"CSA-Q"
3.01820262298531,"CSA-Q"
2.97301681400665,"CSA-Q"
3.01362460569311,"CSA-Q"
2.94965233909426,"CSA-Q"
2.98702174418581,"CSA-Q"
2.95346622564161,"CSA-Q"
2.96294693194834,"CSA-Q"
2.90098431746739,"CSA-Q"
2.95613543362862,"CSA-Q"
3.0639833360127,"CSA-Q"
3.01789967456806,"CSA-Q"
2.95410246828293,"CSA-Q"
2.97240595503888,"CSA-Q"
3.03704746765328,"CSA-Q"
2.97045625747648,"CSA-Q"
3.00425117598029,"CSA-Q"
3.08577825675389,"CSA-Q"
3.00686375559,"CSA-Q"
3.06816983407682,"CSA-Q"
2.96520177254742,"CSA-Q"
2.99774172087928,"CSA-Q"
3.03007146970222,"CSA-Q"
3.0207066892413,"CSA-Q"
3.00667988176792,"CSA-Q"
2.98331868998036,"CSA-Q"
3.02803367992777,"CSA-Q"
2.9326135223666,"CSA-Q"
2.98844253830788,"CSA-Q"
2.99771764348443,"CSA-Q"
2.82247929602649,"CSA-Q"
