"Coverage","group"
0.8047,"CSA-M"
0.8011,"CSA-M"
0.804,"CSA-M"
0.8033,"CSA-M"
0.805,"CSA-M"
0.8024,"CSA-M"
0.8058,"CSA-M"
0.8038,"CSA-M"
0.8026,"CSA-M"
0.8034,"CSA-M"
0.8032,"CSA-M"
0.8,"CSA-M"
0.8047,"CSA-M"
0.793,"CSA-M"
0.8058,"CSA-M"
0.8016,"CSA-M"
0.8057,"CSA-M"
0.8004,"CSA-M"
0.8021,"CSA-M"
0.8003,"CSA-M"
0.8007,"CSA-M"
0.8021,"CSA-M"
0.8021,"CSA-M"
0.8024,"CSA-M"
0.806,"CSA-M"
0.8024,"CSA-M"
0.804,"CSA-M"
0.8052,"CSA-M"
0.8003,"CSA-M"
0.8055,"CSA-M"
0.8047,"CSA-M"
0.8034,"CSA-M"
0.8039,"CSA-M"
0.8048,"CSA-M"
0.8024,"CSA-M"
0.8019,"CSA-M"
0.8012,"CSA-M"
0.8007,"CSA-M"
0.803,"CSA-M"
0.8015,"CSA-M"
0.8047,"CSA-M"
0.802,"CSA-M"
0.8038,"CSA-M"
0.7999,"CSA-M"
0.804,"CSA-M"
0.8005,"CSA-M"
0.8002,"CSA-M"
0.8,"CSA-M"
0.8006,"CSA-M"
0.8003,"CSA-M"
0.8056,"CSA-Q"
0.8027,"CSA-Q"
0.8002,"CSA-Q"
0.8034,"CSA-Q"
0.8043,"CSA-Q"
0.804,"CSA-Q"
0.8031,"CSA-Q"
0.8042,"CSA-Q"
0.8016,"CSA-Q"
0.8,"CSA-Q"
0.8057,"CSA-Q"
0.8,"CSA-Q"
0.803,"CSA-Q"
0.8036,"CSA-Q"
0.8028,"CSA-Q"
0.8005,"CSA-Q"
0.8007,"CSA-Q"
0.8029,"CSA-Q"
0.8031,"CSA-Q"
0.8051,"CSA-Q"
0.8047,"CSA-Q"
0.8051,"CSA-Q"
0.8065,"CSA-Q"
0.8036,"CSA-Q"
0.8004,"CSA-Q"
0.8027,"CSA-Q"
0.8001,"CSA-Q"
0.8033,"CSA-Q"
0.8039,"CSA-Q"
0.8012,"CSA-Q"
0.8048,"CSA-Q"
0.8008,"CSA-Q"
0.799,"CSA-Q"
0.8002,"CSA-Q"
0.8,"CSA-Q"
0.8011,"CSA-Q"
0.8033,"CSA-Q"
0.7869,"CSA-Q"
0.8016,"CSA-Q"
0.8024,"CSA-Q"
0.8045,"CSA-Q"
0.8008,"CSA-Q"
0.8056,"CSA-Q"
0.8038,"CSA-Q"
0.8029,"CSA-Q"
0.8019,"CSA-Q"
0.7877,"CSA-Q"
0.8058,"CSA-Q"
0.8005,"CSA-Q"
0.8,"CSA-Q"
