"Interval_length","group"
3.85193414325257,"CSA-M"
3.78396909654133,"CSA-M"
3.76551437705847,"CSA-M"
3.81390373467214,"CSA-M"
3.80595325286099,"CSA-M"
3.82370988357461,"CSA-M"
3.79826035990286,"CSA-M"
3.77945157912106,"CSA-M"
3.79792633504348,"CSA-M"
3.84252734173307,"CSA-M"
3.83516150980288,"CSA-M"
3.81637166245447,"CSA-M"
3.78926138043335,"CSA-M"
3.81070345335257,"CSA-M"
3.77401960167209,"CSA-M"
3.82517866483453,"CSA-M"
3.72314444689679,"CSA-M"
3.800098547914,"CSA-M"
3.72905926675335,"CSA-M"
3.81122846390945,"CSA-M"
3.76914431629239,"CSA-M"
3.8055987597085,"CSA-M"
3.82685723679504,"CSA-M"
3.81521515271563,"CSA-M"
3.79941703597646,"CSA-M"
3.79800689090771,"CSA-M"
3.82535953390339,"CSA-M"
3.75367716699885,"CSA-M"
3.82219762635876,"CSA-M"
3.75084976622955,"CSA-M"
3.81268134694929,"CSA-M"
3.82131377537063,"CSA-M"
3.85719003999334,"CSA-M"
3.81855460571306,"CSA-M"
3.80659712821407,"CSA-M"
3.7582762590092,"CSA-M"
3.80023128166179,"CSA-M"
3.78251475716915,"CSA-M"
3.83080993660757,"CSA-M"
3.81788876872246,"CSA-M"
3.74971613825656,"CSA-M"
3.83341630678288,"CSA-M"
3.75621030886737,"CSA-M"
3.84886920446052,"CSA-M"
3.78282438417478,"CSA-M"
3.76382346466809,"CSA-M"
3.85030085743218,"CSA-M"
3.81490170703609,"CSA-M"
3.8519940891995,"CSA-M"
3.82727641481702,"CSA-M"
3.82853206105261,"CSA-Q"
3.7796050942429,"CSA-Q"
3.8376396963686,"CSA-Q"
3.82350694771038,"CSA-Q"
3.78591691223061,"CSA-Q"
3.82508029835926,"CSA-Q"
3.81912923785329,"CSA-Q"
3.81633984959464,"CSA-Q"
3.78287820884738,"CSA-Q"
3.84815426418712,"CSA-Q"
3.81614322768222,"CSA-Q"
3.83970938235588,"CSA-Q"
3.77492293574872,"CSA-Q"
3.8444038906128,"CSA-Q"
3.7580249283181,"CSA-Q"
3.81367960515659,"CSA-Q"
3.80064277348452,"CSA-Q"
3.81819234724876,"CSA-Q"
3.77664776798486,"CSA-Q"
3.85427892748459,"CSA-Q"
3.81789019101487,"CSA-Q"
3.77848424668991,"CSA-Q"
3.83840264589049,"CSA-Q"
3.85270879939152,"CSA-Q"
3.77696942058287,"CSA-Q"
3.82019470768262,"CSA-Q"
3.82745441562272,"CSA-Q"
3.77535578850876,"CSA-Q"
3.86141264030889,"CSA-Q"
3.77417110220374,"CSA-Q"
3.84742011505544,"CSA-Q"
3.8536326546173,"CSA-Q"
3.82259159789751,"CSA-Q"
3.7786533948144,"CSA-Q"
3.82402701673246,"CSA-Q"
3.79560915748868,"CSA-Q"
3.77886819173146,"CSA-Q"
3.787236076706,"CSA-Q"
3.86861836157156,"CSA-Q"
3.81817833336247,"CSA-Q"
3.76488282934709,"CSA-Q"
3.86469258654157,"CSA-Q"
3.77583141448301,"CSA-Q"
3.84314857801275,"CSA-Q"
3.83720920657767,"CSA-Q"
3.83297371644455,"CSA-Q"
3.85435018907833,"CSA-Q"
3.83186952598287,"CSA-Q"
3.90465625754255,"CSA-Q"
3.81290194558122,"CSA-Q"
