"Interval_length","group"
2.92404081105852,"CSA-M"
2.94662200993459,"CSA-M"
2.92510504327408,"CSA-M"
2.95278608632536,"CSA-M"
2.91809666749373,"CSA-M"
2.94068679935573,"CSA-M"
2.96442804750853,"CSA-M"
2.92455176925409,"CSA-M"
2.99254391974058,"CSA-M"
2.95090153942824,"CSA-M"
2.96256317938117,"CSA-M"
2.94291756203377,"CSA-M"
2.95286196476091,"CSA-M"
2.93836923455061,"CSA-M"
2.99938544811937,"CSA-M"
2.92320018005323,"CSA-M"
2.99994482026512,"CSA-M"
2.97417023566829,"CSA-M"
2.95365112393286,"CSA-M"
2.92026657504675,"CSA-M"
2.96519896641537,"CSA-M"
2.94748761127429,"CSA-M"
2.92711035416261,"CSA-M"
2.94629264012103,"CSA-M"
2.96092232717015,"CSA-M"
2.84440679932783,"CSA-M"
2.96278464117482,"CSA-M"
2.98019456356227,"CSA-M"
2.90051906376711,"CSA-M"
3.01135498955636,"CSA-M"
2.98194430649293,"CSA-M"
2.99941612101645,"CSA-M"
2.94581949544731,"CSA-M"
3.05942821608383,"CSA-M"
2.95416270964674,"CSA-M"
2.97743534628844,"CSA-M"
2.98013591567873,"CSA-M"
2.98792224165754,"CSA-M"
2.99925265549635,"CSA-M"
2.95270068746782,"CSA-M"
2.96640428822226,"CSA-M"
2.97389323310217,"CSA-M"
2.97746470996272,"CSA-M"
2.95392487299208,"CSA-M"
3.01750148207706,"CSA-M"
2.96761503586526,"CSA-M"
2.97781441668679,"CSA-M"
2.85962930611207,"CSA-M"
2.9210950774648,"CSA-M"
2.98288635260824,"CSA-M"
3.18046584625383,"CSA-Q"
3.1589270685823,"CSA-Q"
3.16858076374661,"CSA-Q"
3.14997990948221,"CSA-Q"
3.09612661580198,"CSA-Q"
3.18314350860205,"CSA-Q"
3.26427051279278,"CSA-Q"
3.12557642397788,"CSA-Q"
3.17659679845775,"CSA-Q"
3.15448030553921,"CSA-Q"
3.26603851588494,"CSA-Q"
3.14876116393758,"CSA-Q"
3.08476152627783,"CSA-Q"
3.19249395348607,"CSA-Q"
3.22809424953675,"CSA-Q"
3.09657605524053,"CSA-Q"
3.18171145241303,"CSA-Q"
3.19187093923817,"CSA-Q"
3.17323195831468,"CSA-Q"
3.20022909602949,"CSA-Q"
3.23953952908024,"CSA-Q"
2.91341915799168,"CSA-Q"
3.15173512983842,"CSA-Q"
3.14688651033952,"CSA-Q"
3.25259137607497,"CSA-Q"
3.17084180944829,"CSA-Q"
3.05474857119444,"CSA-Q"
3.14717018377018,"CSA-Q"
3.14803620038823,"CSA-Q"
3.21236045644129,"CSA-Q"
3.1842274429914,"CSA-Q"
3.33480543770997,"CSA-Q"
3.10076516050527,"CSA-Q"
3.18007852920698,"CSA-Q"
3.1086496494015,"CSA-Q"
3.23506085529153,"CSA-Q"
3.24518874954539,"CSA-Q"
3.16198187300451,"CSA-Q"
3.18618982054915,"CSA-Q"
3.12439638563083,"CSA-Q"
3.18817444113997,"CSA-Q"
3.24944192181756,"CSA-Q"
3.14107434083553,"CSA-Q"
3.15318240480949,"CSA-Q"
3.21029863635545,"CSA-Q"
3.07833470894407,"CSA-Q"
3.25640761199104,"CSA-Q"
3.13641228031026,"CSA-Q"
3.18725780212014,"CSA-Q"
3.14051975954175,"CSA-Q"
