"Interval_length","group"
2.41290383169833,"CSA-M"
2.68393206351895,"CSA-M"
2.40719310140419,"CSA-M"
2.68704451770478,"CSA-M"
2.72250137588991,"CSA-M"
2.71314690273557,"CSA-M"
2.66385820429829,"CSA-M"
2.68594513206693,"CSA-M"
2.57900972807433,"CSA-M"
2.69424496507787,"CSA-M"
2.67747576704879,"CSA-M"
2.64290403690635,"CSA-M"
2.6710313360832,"CSA-M"
2.60570375978565,"CSA-M"
2.69160600495947,"CSA-M"
2.64155448064664,"CSA-M"
2.68431645437023,"CSA-M"
2.6618765793113,"CSA-M"
2.61095850410501,"CSA-M"
2.66492672169241,"CSA-M"
2.69123118246725,"CSA-M"
2.64576890531335,"CSA-M"
2.65652811444691,"CSA-M"
2.68177165995266,"CSA-M"
2.65922809024388,"CSA-M"
2.56589731468787,"CSA-M"
2.66055015784603,"CSA-M"
2.67732063637489,"CSA-M"
2.68051067078492,"CSA-M"
2.64271494317584,"CSA-M"
2.71140479387206,"CSA-M"
2.60567812972659,"CSA-M"
2.67178162179156,"CSA-M"
2.30198494957975,"CSA-M"
2.65120527575562,"CSA-M"
2.68043051112231,"CSA-M"
2.71509928968485,"CSA-M"
2.65750236512037,"CSA-M"
2.72676354629,"CSA-M"
2.66370461621702,"CSA-M"
2.65103949232547,"CSA-M"
2.5072620982948,"CSA-M"
2.64585626800659,"CSA-M"
2.63677336401743,"CSA-M"
2.66626207710377,"CSA-M"
2.65013047616309,"CSA-M"
2.75367780202326,"CSA-M"
2.53303392346775,"CSA-M"
2.6326988945395,"CSA-M"
2.72178762458969,"CSA-M"
2.63994181786524,"CSA-Q"
2.82171115322151,"CSA-Q"
2.76967499624551,"CSA-Q"
2.86229828063659,"CSA-Q"
2.82999769997247,"CSA-Q"
2.87820892073856,"CSA-Q"
2.64524050414824,"CSA-Q"
2.92047838993553,"CSA-Q"
2.84859054462108,"CSA-Q"
3.0403078919106,"CSA-Q"
2.76790904677322,"CSA-Q"
2.74304717466798,"CSA-Q"
2.8978976418546,"CSA-Q"
2.60410760350128,"CSA-Q"
2.94358125891925,"CSA-Q"
2.71505215330118,"CSA-Q"
2.68913095384929,"CSA-Q"
2.88454135432647,"CSA-Q"
2.91370334278868,"CSA-Q"
2.83159347876,"CSA-Q"
2.90318377159893,"CSA-Q"
2.90837251904184,"CSA-Q"
2.95416829362396,"CSA-Q"
2.81955158640521,"CSA-Q"
2.80762470803762,"CSA-Q"
2.79726078717965,"CSA-Q"
3.00546898198576,"CSA-Q"
2.8805663931701,"CSA-Q"
2.70929253163148,"CSA-Q"
2.79977127558311,"CSA-Q"
2.62462243977697,"CSA-Q"
2.59456553903265,"CSA-Q"
2.88417228962572,"CSA-Q"
2.85190852943139,"CSA-Q"
2.85725281434746,"CSA-Q"
2.70825239387376,"CSA-Q"
2.76533682928868,"CSA-Q"
2.90891475008647,"CSA-Q"
2.95763452880969,"CSA-Q"
2.89831918595926,"CSA-Q"
2.89779831162704,"CSA-Q"
2.76626749326346,"CSA-Q"
2.92153426699603,"CSA-Q"
2.90103301517216,"CSA-Q"
2.88100374201377,"CSA-Q"
2.80123370431794,"CSA-Q"
2.90967167711531,"CSA-Q"
2.90953477265109,"CSA-Q"
2.87913832609861,"CSA-Q"
2.7761987931863,"CSA-Q"
