"Coverage","group"
0.801,"CSA-M"
0.8019,"CSA-M"
0.8055,"CSA-M"
0.8036,"CSA-M"
0.8057,"CSA-M"
0.8091,"CSA-M"
0.8017,"CSA-M"
0.8062,"CSA-M"
0.803,"CSA-M"
0.8057,"CSA-M"
0.8041,"CSA-M"
0.8042,"CSA-M"
0.8056,"CSA-M"
0.8004,"CSA-M"
0.8044,"CSA-M"
0.8071,"CSA-M"
0.8008,"CSA-M"
0.8002,"CSA-M"
0.8019,"CSA-M"
0.8027,"CSA-M"
0.8029,"CSA-M"
0.8014,"CSA-M"
0.803,"CSA-M"
0.8053,"CSA-M"
0.8027,"CSA-M"
0.8037,"CSA-M"
0.8046,"CSA-M"
0.8051,"CSA-M"
0.8024,"CSA-M"
0.8027,"CSA-M"
0.8052,"CSA-M"
0.8053,"CSA-M"
0.8018,"CSA-M"
0.8033,"CSA-M"
0.8024,"CSA-M"
0.8,"CSA-M"
0.8007,"CSA-M"
0.8006,"CSA-M"
0.804,"CSA-M"
0.8001,"CSA-M"
0.8054,"CSA-M"
0.8008,"CSA-M"
0.8039,"CSA-M"
0.8053,"CSA-M"
0.8066,"CSA-M"
0.8039,"CSA-M"
0.8006,"CSA-M"
0.804,"CSA-M"
0.8029,"CSA-M"
0.8063,"CSA-M"
0.8018,"CSA-Q"
0.8007,"CSA-Q"
0.8023,"CSA-Q"
0.8005,"CSA-Q"
0.8,"CSA-Q"
0.8004,"CSA-Q"
0.806,"CSA-Q"
0.8049,"CSA-Q"
0.8054,"CSA-Q"
0.8056,"CSA-Q"
0.8057,"CSA-Q"
0.8041,"CSA-Q"
0.8002,"CSA-Q"
0.802,"CSA-Q"
0.8055,"CSA-Q"
0.8069,"CSA-Q"
0.8001,"CSA-Q"
0.8032,"CSA-Q"
0.8053,"CSA-Q"
0.7558,"CSA-Q"
0.8022,"CSA-Q"
0.8012,"CSA-Q"
0.8018,"CSA-Q"
0.8034,"CSA-Q"
0.807,"CSA-Q"
0.805,"CSA-Q"
0.8041,"CSA-Q"
0.8003,"CSA-Q"
0.8068,"CSA-Q"
0.807,"CSA-Q"
0.8006,"CSA-Q"
0.8005,"CSA-Q"
0.8059,"CSA-Q"
0.8041,"CSA-Q"
0.8059,"CSA-Q"
0.8,"CSA-Q"
0.8015,"CSA-Q"
0.8039,"CSA-Q"
0.8023,"CSA-Q"
0.8041,"CSA-Q"
0.8025,"CSA-Q"
0.8009,"CSA-Q"
0.801,"CSA-Q"
0.8062,"CSA-Q"
0.8067,"CSA-Q"
0.8053,"CSA-Q"
0.8029,"CSA-Q"
0.8042,"CSA-Q"
0.8039,"CSA-Q"
0.8037,"CSA-Q"
