"fct_min","group"
0.88,"CSA-M"
0.99,"CSA-M"
0.79,"CSA-M"
0.87,"CSA-M"
0.94,"CSA-M"
0.87,"CSA-M"
0.94,"CSA-M"
0.91,"CSA-M"
0.87,"CSA-M"
0.88,"CSA-M"
0.92,"CSA-M"
0.94,"CSA-M"
0.9,"CSA-M"
0.92,"CSA-M"
0.92,"CSA-M"
0.83,"CSA-M"
0.86,"CSA-M"
0.82,"CSA-M"
0.97,"CSA-M"
0.91,"CSA-M"
0.94,"CSA-M"
0.85,"CSA-M"
0.9,"CSA-M"
0.88,"CSA-M"
0.88,"CSA-M"
0.93,"CSA-M"
0.91,"CSA-M"
0.97,"CSA-M"
0.91,"CSA-M"
0.92,"CSA-M"
0.89,"CSA-M"
0.92,"CSA-M"
0.96,"CSA-M"
0.85,"CSA-M"
0.88,"CSA-M"
0.92,"CSA-M"
0.88,"CSA-M"
0.9,"CSA-M"
0.99,"CSA-M"
0.93,"CSA-M"
0.86,"CSA-M"
0.95,"CSA-M"
0.99,"CSA-M"
0.86,"CSA-M"
0.87,"CSA-M"
1,"CSA-M"
0.88,"CSA-M"
0.85,"CSA-M"
0.87,"CSA-M"
0.91,"CSA-M"
0.86,"CSA-Q"
0.9,"CSA-Q"
0.93,"CSA-Q"
0.81,"CSA-Q"
0.92,"CSA-Q"
0.88,"CSA-Q"
0.97,"CSA-Q"
0.94,"CSA-Q"
0.97,"CSA-Q"
0.91,"CSA-Q"
0.91,"CSA-Q"
0.86,"CSA-Q"
0.87,"CSA-Q"
0.85,"CSA-Q"
0.8,"CSA-Q"
0.84,"CSA-Q"
0.91,"CSA-Q"
0.84,"CSA-Q"
0.93,"CSA-Q"
0.9,"CSA-Q"
0.89,"CSA-Q"
0.95,"CSA-Q"
0.94,"CSA-Q"
0.93,"CSA-Q"
0.92,"CSA-Q"
0.94,"CSA-Q"
0.95,"CSA-Q"
0.86,"CSA-Q"
0.83,"CSA-Q"
0.9,"CSA-Q"
0.97,"CSA-Q"
0.88,"CSA-Q"
0.91,"CSA-Q"
0.99,"CSA-Q"
0.95,"CSA-Q"
0.92,"CSA-Q"
0.93,"CSA-Q"
0.81,"CSA-Q"
1.01,"CSA-Q"
0.99,"CSA-Q"
0.85,"CSA-Q"
1.01,"CSA-Q"
0.88,"CSA-Q"
0.87,"CSA-Q"
0.92,"CSA-Q"
0.83,"CSA-Q"
0.89,"CSA-Q"
0.83,"CSA-Q"
0.8,"CSA-Q"
0.86,"CSA-Q"
