"Coverage","group"
0.8037,"CSA-M"
0.806,"CSA-M"
0.8,"CSA-M"
0.8049,"CSA-M"
0.801,"CSA-M"
0.8057,"CSA-M"
0.8072,"CSA-M"
0.8032,"CSA-M"
0.8058,"CSA-M"
0.8068,"CSA-M"
0.8055,"CSA-M"
0.8001,"CSA-M"
0.8005,"CSA-M"
0.8032,"CSA-M"
0.807,"CSA-M"
0.8049,"CSA-M"
0.8035,"CSA-M"
0.8044,"CSA-M"
0.8002,"CSA-M"
0.8025,"CSA-M"
0.804,"CSA-M"
0.8046,"CSA-M"
0.8049,"CSA-M"
0.8032,"CSA-M"
0.8045,"CSA-M"
0.8035,"CSA-M"
0.8,"CSA-M"
0.8015,"CSA-M"
0.8026,"CSA-M"
0.8028,"CSA-M"
0.8022,"CSA-M"
0.8018,"CSA-M"
0.806,"CSA-M"
0.8058,"CSA-M"
0.801,"CSA-M"
0.8008,"CSA-M"
0.8039,"CSA-M"
0.8027,"CSA-M"
0.8015,"CSA-M"
0.802,"CSA-M"
0.8023,"CSA-M"
0.8039,"CSA-M"
0.8044,"CSA-M"
0.8001,"CSA-M"
0.8038,"CSA-M"
0.8026,"CSA-M"
0.8031,"CSA-M"
0.8032,"CSA-M"
0.8048,"CSA-M"
0.809,"CSA-M"
0.8017,"CSA-Q"
0.8046,"CSA-Q"
0.8027,"CSA-Q"
0.8005,"CSA-Q"
0.802,"CSA-Q"
0.8003,"CSA-Q"
0.8006,"CSA-Q"
0.801,"CSA-Q"
0.8045,"CSA-Q"
0.8056,"CSA-Q"
0.8036,"CSA-Q"
0.8077,"CSA-Q"
0.8019,"CSA-Q"
0.8009,"CSA-Q"
0.8054,"CSA-Q"
0.8017,"CSA-Q"
0.8017,"CSA-Q"
0.8007,"CSA-Q"
0.8006,"CSA-Q"
0.8055,"CSA-Q"
0.8029,"CSA-Q"
0.8073,"CSA-Q"
0.8059,"CSA-Q"
0.8042,"CSA-Q"
0.8062,"CSA-Q"
0.8045,"CSA-Q"
0.802,"CSA-Q"
0.8056,"CSA-Q"
0.806,"CSA-Q"
0.8016,"CSA-Q"
0.8059,"CSA-Q"
0.8073,"CSA-Q"
0.8076,"CSA-Q"
0.801,"CSA-Q"
0.8043,"CSA-Q"
0.8017,"CSA-Q"
0.8008,"CSA-Q"
0.801,"CSA-Q"
0.8011,"CSA-Q"
0.8057,"CSA-Q"
0.8058,"CSA-Q"
0.8057,"CSA-Q"
0.8017,"CSA-Q"
0.8016,"CSA-Q"
0.8009,"CSA-Q"
0.8032,"CSA-Q"
0.8014,"CSA-Q"
0.8036,"CSA-Q"
0.8064,"CSA-Q"
0.8039,"CSA-Q"
