"Coverage","group"
0.8306,"CSA-M"
0.8999,"CSA-M"
0.8336,"CSA-M"
0.79,"CSA-M"
0.8597,"CSA-M"
0.8982,"CSA-M"
0.8698,"CSA-M"
0.8435,"CSA-M"
0.9431,"CSA-M"
0.8759,"CSA-M"
0.8541,"CSA-M"
0.9006,"CSA-M"
0.8752,"CSA-M"
0.8978,"CSA-M"
0.8426,"CSA-M"
0.8433,"CSA-M"
0.8881,"CSA-M"
0.8444,"CSA-M"
0.9018,"CSA-M"
0.8574,"CSA-M"
0.9171,"CSA-M"
0.8737,"CSA-M"
0.8903,"CSA-M"
0.871,"CSA-M"
0.8743,"CSA-M"
0.8648,"CSA-M"
0.8727,"CSA-M"
0.8837,"CSA-M"
0.8979,"CSA-M"
0.8834,"CSA-M"
0.8772,"CSA-M"
0.8711,"CSA-M"
0.8132,"CSA-M"
0.9113,"CSA-M"
0.8372,"CSA-M"
0.9255,"CSA-M"
0.8269,"CSA-M"
0.8754,"CSA-M"
0.8619,"CSA-M"
0.8664,"CSA-M"
0.9081,"CSA-M"
0.8811,"CSA-M"
0.8268,"CSA-M"
0.8572,"CSA-M"
0.8546,"CSA-M"
0.8974,"CSA-M"
0.8422,"CSA-M"
0.8666,"CSA-M"
0.8667,"CSA-M"
0.886,"CSA-M"
0.8681,"CSA-Q"
0.8666,"CSA-Q"
0.8973,"CSA-Q"
0.8445,"CSA-Q"
0.8529,"CSA-Q"
0.8609,"CSA-Q"
0.8426,"CSA-Q"
0.9282,"CSA-Q"
0.8752,"CSA-Q"
0.8687,"CSA-Q"
0.8978,"CSA-Q"
0.9072,"CSA-Q"
0.9004,"CSA-Q"
0.876,"CSA-Q"
0.8639,"CSA-Q"
0.9181,"CSA-Q"
0.8803,"CSA-Q"
0.8394,"CSA-Q"
0.8822,"CSA-Q"
0.9083,"CSA-Q"
0.8634,"CSA-Q"
0.8491,"CSA-Q"
0.9181,"CSA-Q"
0.8672,"CSA-Q"
0.8213,"CSA-Q"
0.7984,"CSA-Q"
0.8227,"CSA-Q"
0.902,"CSA-Q"
0.8947,"CSA-Q"
0.8806,"CSA-Q"
0.8935,"CSA-Q"
0.8359,"CSA-Q"
0.8733,"CSA-Q"
0.8557,"CSA-Q"
0.8502,"CSA-Q"
0.8596,"CSA-Q"
0.8746,"CSA-Q"
0.8447,"CSA-Q"
0.9139,"CSA-Q"
0.861,"CSA-Q"
0.8565,"CSA-Q"
0.8675,"CSA-Q"
0.9235,"CSA-Q"
0.8774,"CSA-Q"
0.909,"CSA-Q"
0.8974,"CSA-Q"
0.8958,"CSA-Q"
0.8436,"CSA-Q"
0.8275,"CSA-Q"
0.8499,"CSA-Q"
0.5937,"ITE-NUS"
0.6085,"ITE-NUS"
0.6251,"ITE-NUS"
0.6118,"ITE-NUS"
0.6461,"ITE-NUS"
0.6231,"ITE-NUS"
0.604,"ITE-NUS"
0.6675,"ITE-NUS"
0.6076,"ITE-NUS"
0.6206,"ITE-NUS"
0.6456,"ITE-NUS"
0.6371,"ITE-NUS"
0.5853,"ITE-NUS"
0.6238,"ITE-NUS"
0.5992,"ITE-NUS"
0.6775,"ITE-NUS"
0.592,"ITE-NUS"
0.6035,"ITE-NUS"
0.6251,"ITE-NUS"
0.6354,"ITE-NUS"
0.6364,"ITE-NUS"
0.6222,"ITE-NUS"
0.6122,"ITE-NUS"
0.6433,"ITE-NUS"
0.6375,"ITE-NUS"
0.6287,"ITE-NUS"
0.6113,"ITE-NUS"
0.6223,"ITE-NUS"
0.6004,"ITE-NUS"
0.6355,"ITE-NUS"
0.5356,"ITE-NUS"
0.6131,"ITE-NUS"
0.6326,"ITE-NUS"
0.6264,"ITE-NUS"
0.5864,"ITE-NUS"
0.6412,"ITE-NUS"
0.5989,"ITE-NUS"
0.6482,"ITE-NUS"
0.6368,"ITE-NUS"
0.6632,"ITE-NUS"
0.6313,"ITE-NUS"
0.6321,"ITE-NUS"
0.6762,"ITE-NUS"
0.6363,"ITE-NUS"
0.6013,"ITE-NUS"
0.6174,"ITE-NUS"
0.6037,"ITE-NUS"
0.6116,"ITE-NUS"
0.5836,"ITE-NUS"
0.6023,"ITE-NUS"
0.9904,"CSA-B"
0.9931,"CSA-B"
0.9932,"CSA-B"
0.9923,"CSA-B"
0.9925,"CSA-B"
0.9905,"CSA-B"
0.9942,"CSA-B"
0.9939,"CSA-B"
0.9878,"CSA-B"
0.9946,"CSA-B"
0.9903,"CSA-B"
0.9913,"CSA-B"
0.9915,"CSA-B"
0.9818,"CSA-B"
0.9922,"CSA-B"
0.9872,"CSA-B"
0.9892,"CSA-B"
0.9881,"CSA-B"
0.9921,"CSA-B"
0.9914,"CSA-B"
0.9924,"CSA-B"
0.991,"CSA-B"
0.9948,"CSA-B"
0.9865,"CSA-B"
0.9923,"CSA-B"
0.9837,"CSA-B"
0.9965,"CSA-B"
0.9888,"CSA-B"
0.9879,"CSA-B"
0.9904,"CSA-B"
0.993,"CSA-B"
0.9934,"CSA-B"
0.9908,"CSA-B"
0.9773,"CSA-B"
0.9895,"CSA-B"
0.9897,"CSA-B"
0.9898,"CSA-B"
0.9925,"CSA-B"
0.9905,"CSA-B"
0.9916,"CSA-B"
0.9932,"CSA-B"
0.9943,"CSA-B"
0.9928,"CSA-B"
0.9921,"CSA-B"
0.9824,"CSA-B"
0.9893,"CSA-B"
0.9904,"CSA-B"
0.9865,"CSA-B"
0.9814,"CSA-B"
0.9886,"CSA-B"
