"Interval_length","group"
6.67625932077722,"CSA-M"
5.9762999893958,"CSA-M"
5.95429996520336,"CSA-M"
5.70321211988938,"CSA-M"
5.83935612903332,"CSA-M"
6.26109946698907,"CSA-M"
6.85293050201668,"CSA-M"
5.8923226424726,"CSA-M"
5.72023485481046,"CSA-M"
6.53060275775173,"CSA-M"
6.00637643412272,"CSA-M"
5.32980678664951,"CSA-M"
6.30027213836403,"CSA-M"
5.76672232716369,"CSA-M"
7.32510501430849,"CSA-M"
6.44851338205207,"CSA-M"
6.24469197412511,"CSA-M"
6.27798069629369,"CSA-M"
6.26169653626544,"CSA-M"
6.49732183181721,"CSA-M"
6.22278216395751,"CSA-M"
6.48469980682059,"CSA-M"
5.97810268705424,"CSA-M"
6.14123055358092,"CSA-M"
7.55251789512921,"CSA-M"
6.27358280001382,"CSA-M"
6.72110125519212,"CSA-M"
6.37768090761994,"CSA-M"
5.59536130237681,"CSA-M"
6.48473864891752,"CSA-M"
6.49402050539664,"CSA-M"
6.42185762117827,"CSA-M"
6.14726577228521,"CSA-M"
6.91484812362703,"CSA-M"
6.86905663472104,"CSA-M"
6.50165761834598,"CSA-M"
6.33584118316217,"CSA-M"
6.68421785374948,"CSA-M"
7.17771508408321,"CSA-M"
6.22574972191751,"CSA-M"
6.32566457125654,"CSA-M"
6.17284871217757,"CSA-M"
7.02101086188333,"CSA-M"
6.02297455360298,"CSA-M"
6.270255639478,"CSA-M"
6.84312469273514,"CSA-M"
6.89849730404841,"CSA-M"
6.10025990795879,"CSA-M"
6.70530075063741,"CSA-M"
6.87374158414014,"CSA-M"
6.95271373511912,"CSA-Q"
6.88123948477949,"CSA-Q"
5.4165634150795,"CSA-Q"
6.33824149045136,"CSA-Q"
6.51322765789416,"CSA-Q"
6.99840343547335,"CSA-Q"
7.13271969767993,"CSA-Q"
6.73037197931339,"CSA-Q"
6.51552750084435,"CSA-Q"
6.10444465569146,"CSA-Q"
6.52298591662852,"CSA-Q"
5.42273732198398,"CSA-Q"
6.25685266826433,"CSA-Q"
6.59457290289118,"CSA-Q"
6.81739887546037,"CSA-Q"
5.96519118258583,"CSA-Q"
6.43690494100527,"CSA-Q"
7.98522124218354,"CSA-Q"
6.24362368679523,"CSA-Q"
6.34925917211631,"CSA-Q"
6.62847151107286,"CSA-Q"
6.90825953881011,"CSA-Q"
5.83226612281958,"CSA-Q"
6.36980671587719,"CSA-Q"
6.86843386139719,"CSA-Q"
8.00492658230068,"CSA-Q"
5.86605172067401,"CSA-Q"
6.82252728350145,"CSA-Q"
6.54732683594403,"CSA-Q"
6.65508004850614,"CSA-Q"
6.39336845814576,"CSA-Q"
5.52405460133439,"CSA-Q"
6.64469935909168,"CSA-Q"
6.54106417997431,"CSA-Q"
6.13419428725947,"CSA-Q"
6.96491874922489,"CSA-Q"
6.88098754932109,"CSA-Q"
8.05805891791156,"CSA-Q"
7.12197671804659,"CSA-Q"
6.06521480581413,"CSA-Q"
6.53142544849358,"CSA-Q"
6.03064902919915,"CSA-Q"
6.73452345283018,"CSA-Q"
6.03367719948446,"CSA-Q"
5.48797470098644,"CSA-Q"
7.43927242376779,"CSA-Q"
6.40251180700432,"CSA-Q"
6.75997420428268,"CSA-Q"
6.19105273483292,"CSA-Q"
6.07179553974347,"CSA-Q"
3.44781440015146,"ITE-NUS"
3.44062842817095,"ITE-NUS"
3.55383458026308,"ITE-NUS"
3.23774204469976,"ITE-NUS"
3.27229509293324,"ITE-NUS"
3.45098933334,"ITE-NUS"
3.16095378397772,"ITE-NUS"
3.12477212636358,"ITE-NUS"
3.44290472903833,"ITE-NUS"
3.32591082330464,"ITE-NUS"
3.38944544835383,"ITE-NUS"
3.24712107821723,"ITE-NUS"
3.36363177284448,"ITE-NUS"
3.14884366274339,"ITE-NUS"
