"Interval_length","group"
5.54268217735043,"CSA-M"
5.88280353933941,"CSA-M"
5.77269082478714,"CSA-M"
5.96426445293175,"CSA-M"
5.39791490465512,"CSA-M"
5.88878810287609,"CSA-M"
5.34422632351021,"CSA-M"
5.92648174902877,"CSA-M"
5.32116282981798,"CSA-M"
6.0813126094938,"CSA-M"
6.78197860544147,"CSA-M"
5.52783870179214,"CSA-M"
5.47212318280622,"CSA-M"
6.11544349806179,"CSA-M"
6.0310889559751,"CSA-M"
6.17253983914568,"CSA-M"
5.70026427697643,"CSA-M"
5.60283841828556,"CSA-M"
6.91585534503678,"CSA-M"
6.07935478582304,"CSA-M"
6.32225090610098,"CSA-M"
5.92455002153559,"CSA-M"
6.54397802037821,"CSA-M"
5.39576123469401,"CSA-M"
6.53794401866273,"CSA-M"
5.45529809849723,"CSA-M"
6.14501749238071,"CSA-M"
6.33298795157946,"CSA-M"
6.01415382491964,"CSA-M"
5.84058034960154,"CSA-M"
5.63536479324487,"CSA-M"
5.47406219079488,"CSA-M"
5.94871424290518,"CSA-M"
5.53227435805898,"CSA-M"
6.34187049250214,"CSA-M"
5.50463441121535,"CSA-M"
5.64240796306091,"CSA-M"
6.26537334433069,"CSA-M"
6.02211780747589,"CSA-M"
6.14157790525316,"CSA-M"
5.46039363775838,"CSA-M"
5.83362413055729,"CSA-M"
7.65463782006606,"CSA-M"
5.9107250823799,"CSA-M"
5.85851730453407,"CSA-M"
6.36683193406354,"CSA-M"
5.61034686571683,"CSA-M"
5.66580702370372,"CSA-M"
6.03195092583028,"CSA-M"
6.27841789161825,"CSA-M"
6.49156725898361,"CSA-Q"
5.88028190438556,"CSA-Q"
6.02198745485944,"CSA-Q"
6.14254218305688,"CSA-Q"
7.05627911690845,"CSA-Q"
5.40127631998555,"CSA-Q"
5.68640339739956,"CSA-Q"
6.40249967967733,"CSA-Q"
5.52124756647277,"CSA-Q"
6.08180303068882,"CSA-Q"
7.05441227572227,"CSA-Q"
5.65511060403758,"CSA-Q"
