"Coverage","group"
0.931,"CSA-M"
0.898,"CSA-M"
0.9153,"CSA-M"
0.9254,"CSA-M"
0.9323,"CSA-M"
0.9499,"CSA-M"
0.9437,"CSA-M"
0.9009,"CSA-M"
0.9211,"CSA-M"
0.9169,"CSA-M"
0.865,"CSA-M"
0.898,"CSA-M"
0.8746,"CSA-M"
0.9047,"CSA-M"
0.9483,"CSA-M"
0.8973,"CSA-M"
0.9065,"CSA-M"
0.8855,"CSA-M"
0.9372,"CSA-M"
0.9014,"CSA-M"
0.8844,"CSA-M"
0.9236,"CSA-M"
0.8767,"CSA-M"
0.9123,"CSA-M"
0.9072,"CSA-M"
0.9502,"CSA-M"
0.9271,"CSA-M"
0.9132,"CSA-M"
0.8972,"CSA-M"
0.9044,"CSA-M"
0.9172,"CSA-M"
0.8604,"CSA-M"
0.9231,"CSA-M"
0.8901,"CSA-M"
0.9258,"CSA-M"
0.8734,"CSA-M"
0.9367,"CSA-M"
0.8922,"CSA-M"
0.9344,"CSA-M"
0.8933,"CSA-M"
0.8946,"CSA-M"
0.933,"CSA-M"
0.925,"CSA-M"
0.8562,"CSA-M"
0.9345,"CSA-M"
0.8974,"CSA-M"
0.8985,"CSA-M"
0.9301,"CSA-M"
0.8874,"CSA-M"
0.9216,"CSA-M"
0.9463,"CSA-Q"
0.9241,"CSA-Q"
0.9458,"CSA-Q"
0.9065,"CSA-Q"
0.9361,"CSA-Q"
0.9613,"CSA-Q"
0.8901,"CSA-Q"
0.9146,"CSA-Q"
0.9199,"CSA-Q"
0.966,"CSA-Q"
0.8556,"CSA-Q"
0.9449,"CSA-Q"
0.9251,"CSA-Q"
0.9529,"CSA-Q"
0.9002,"CSA-Q"
0.9326,"CSA-Q"
0.9443,"CSA-Q"
0.9229,"CSA-Q"
0.9527,"CSA-Q"
0.9633,"CSA-Q"
0.9336,"CSA-Q"
0.9248,"CSA-Q"
0.8824,"CSA-Q"
0.9081,"CSA-Q"
0.8927,"CSA-Q"
0.915,"CSA-Q"
0.9324,"CSA-Q"
0.9006,"CSA-Q"
0.9157,"CSA-Q"
0.9438,"CSA-Q"
0.9408,"CSA-Q"
0.9156,"CSA-Q"
0.9252,"CSA-Q"
0.9395,"CSA-Q"
0.9526,"CSA-Q"
0.9161,"CSA-Q"
0.8998,"CSA-Q"
0.9075,"CSA-Q"
0.8867,"CSA-Q"
0.9456,"CSA-Q"
0.9251,"CSA-Q"
0.9419,"CSA-Q"
0.9607,"CSA-Q"
0.9686,"CSA-Q"
0.9021,"CSA-Q"
0.9009,"CSA-Q"
0.9063,"CSA-Q"
0.8902,"CSA-Q"
0.8838,"CSA-Q"
0.8999,"CSA-Q"
0.5384,"ITE-NUS"
0.6373,"ITE-NUS"
0.5683,"ITE-NUS"
0.572,"ITE-NUS"
0.6166,"ITE-NUS"
0.5687,"ITE-NUS"
0.5271,"ITE-NUS"
0.5436,"ITE-NUS"
0.5591,"ITE-NUS"
0.5412,"ITE-NUS"
0.5417,"ITE-NUS"
0.5591,"ITE-NUS"
0.532,"ITE-NUS"
0.5431,"ITE-NUS"
0.5086,"ITE-NUS"
0.522,"ITE-NUS"
0.539,"ITE-NUS"
0.5033,"ITE-NUS"
0.5705,"ITE-NUS"
0.5326,"ITE-NUS"
0.4891,"ITE-NUS"
0.5244,"ITE-NUS"
0.592,"ITE-NUS"
0.5597,"ITE-NUS"
0.5607,"ITE-NUS"
0.5481,"ITE-NUS"
0.5755,"ITE-NUS"
0.5949,"ITE-NUS"
0.5529,"ITE-NUS"
0.6273,"ITE-NUS"
0.5406,"ITE-NUS"
0.5717,"ITE-NUS"
0.5496,"ITE-NUS"
0.5422,"ITE-NUS"
0.5468,"ITE-NUS"
0.5708,"ITE-NUS"
0.5686,"ITE-NUS"
0.5719,"ITE-NUS"
0.5385,"ITE-NUS"
0.6274,"ITE-NUS"
0.6007,"ITE-NUS"
0.5599,"ITE-NUS"
0.5517,"ITE-NUS"
0.5461,"ITE-NUS"
0.5357,"ITE-NUS"
0.5615,"ITE-NUS"
0.5514,"ITE-NUS"
0.5702,"ITE-NUS"
0.5632,"ITE-NUS"
0.5597,"ITE-NUS"
0.9923,"CSA-B"
0.9936,"CSA-B"
0.9976,"CSA-B"
0.9953,"CSA-B"
0.9944,"CSA-B"
0.9953,"CSA-B"
0.9929,"CSA-B"
0.9951,"CSA-B"
0.9956,"CSA-B"
0.9951,"CSA-B"
0.9956,"CSA-B"
0.993,"CSA-B"
0.9972,"CSA-B"
0.9925,"CSA-B"
0.9899,"CSA-B"
0.9933,"CSA-B"
0.9922,"CSA-B"
0.9911,"CSA-B"
0.9955,"CSA-B"
0.9915,"CSA-B"
0.9917,"CSA-B"
0.996,"CSA-B"
0.9894,"CSA-B"
0.9948,"CSA-B"
0.984,"CSA-B"
0.9956,"CSA-B"
0.997,"CSA-B"
0.9978,"CSA-B"
0.9939,"CSA-B"
0.9909,"CSA-B"
0.9932,"CSA-B"
0.9921,"CSA-B"
0.9896,"CSA-B"
0.9951,"CSA-B"
0.9934,"CSA-B"
0.9954,"CSA-B"
0.9951,"CSA-B"
0.9923,"CSA-B"
0.9965,"CSA-B"
0.9934,"CSA-B"
0.9967,"CSA-B"
0.9959,"CSA-B"
0.996,"CSA-B"
0.9897,"CSA-B"
0.9961,"CSA-B"
0.994,"CSA-B"
0.9889,"CSA-B"
0.9911,"CSA-B"
0.9957,"CSA-B"
0.9933,"CSA-B"
