"Interval_length","group"
4.43215586393419,"CSA-M"
4.31154435298271,"CSA-M"
4.36682266675616,"CSA-M"
4.23122888691715,"CSA-M"
4.34594652054687,"CSA-M"
3.98923727680437,"CSA-M"
4.43600739499634,"CSA-M"
4.36319762809875,"CSA-M"
4.02076380343159,"CSA-M"
4.45309601731957,"CSA-M"
4.57221441967079,"CSA-M"
4.37662373989592,"CSA-M"
4.49739711359261,"CSA-M"
4.18265606051741,"CSA-M"
4.19792867388095,"CSA-M"
4.69216264121275,"CSA-M"
4.36903592602898,"CSA-M"
4.23767239855569,"CSA-M"
4.35087821399047,"CSA-M"
4.09135113861827,"CSA-M"
4.24372078296283,"CSA-M"
4.1239819102293,"CSA-M"
4.40635622085855,"CSA-M"
4.68516227289481,"CSA-M"
4.52715511221932,"CSA-M"
4.42580925745201,"CSA-M"
4.37243409606148,"CSA-M"
4.36426604180129,"CSA-M"
4.22929754740993,"CSA-M"
4.89757909331169,"CSA-M"
4.28527180717455,"CSA-M"
4.40850982383227,"CSA-M"
4.18126231461325,"CSA-M"
4.13487887137362,"CSA-M"
4.43112858673161,"CSA-M"
4.4320798758198,"CSA-M"
4.44767450959777,"CSA-M"
4.04933859132753,"CSA-M"
4.67865014423007,"CSA-M"
4.45367966077864,"CSA-M"
4.12910375989394,"CSA-M"
4.59699539527812,"CSA-M"
4.72355249928291,"CSA-M"
4.67289661217256,"CSA-M"
4.35411155299932,"CSA-M"
4.57815544221192,"CSA-M"
4.5874798944831,"CSA-M"
4.14952117163257,"CSA-M"
4.71616907360416,"CSA-M"
4.21089761759615,"CSA-M"
4.98865571169206,"CSA-Q"
4.62581112272201,"CSA-Q"
4.88936837201983,"CSA-Q"
4.65478851248341,"CSA-Q"
4.51482846095667,"CSA-Q"
4.75305461728649,"CSA-Q"
4.86998954599469,"CSA-Q"
4.68397949051386,"CSA-Q"
4.5708867447441,"CSA-Q"
4.88187222967419,"CSA-Q"
4.79398967357881,"CSA-Q"
4.94359841264693,"CSA-Q"
4.76699021848168,"CSA-Q"
4.67639515465419,"CSA-Q"
5.11341509513495,"CSA-Q"
4.73576880326232,"CSA-Q"
4.92908071782665,"CSA-Q"
5.49442831344832,"CSA-Q"
4.82314156296486,"CSA-Q"
4.68356439422731,"CSA-Q"
4.70605419406554,"CSA-Q"
4.73272386616125,"CSA-Q"
5.109809643457,"CSA-Q"
4.96499327769164,"CSA-Q"
5.25341450308143,"CSA-Q"
5.20054318288315,"CSA-Q"
4.72840381569653,"CSA-Q"
4.74362389861456,"CSA-Q"
4.7568151793083,"CSA-Q"
4.75412046672624,"CSA-Q"
4.96716812735545,"CSA-Q"
5.00524082787816,"CSA-Q"
4.58281921472751,"CSA-Q"
4.55441854736562,"CSA-Q"
5.20323415201185,"CSA-Q"
5.38595221223571,"CSA-Q"
4.89412310459465,"CSA-Q"
4.77813927537307,"CSA-Q"
4.98978847013333,"CSA-Q"
4.67800352035566,"CSA-Q"
4.81237889284784,"CSA-Q"
4.81363761204078,"CSA-Q"
5.05833875683508,"CSA-Q"
5.35284544595757,"CSA-Q"
4.86012081620731,"CSA-Q"
4.95937478463623,"CSA-Q"
4.71668065163921,"CSA-Q"
5.02226558969082,"CSA-Q"
4.75653346754471,"CSA-Q"
5.03714324060631,"CSA-Q"
4.13037320361282,"ITE-NUS"
3.93614325490352,"ITE-NUS"
3.90020267708387,"ITE-NUS"
4.00370759450265,"ITE-NUS"
3.43211144675999,"ITE-NUS"
