"Coverage","group"
0.8582,"CSA-M"
0.8674,"CSA-M"
0.8606,"CSA-M"
0.8799,"CSA-M"
0.8877,"CSA-M"
0.812,"CSA-M"
0.8516,"CSA-M"
0.8505,"CSA-M"
0.8268,"CSA-M"
0.9273,"CSA-M"
0.8853,"CSA-M"
0.8601,"CSA-M"
0.9128,"CSA-M"
0.8598,"CSA-M"
0.8756,"CSA-M"
0.8614,"CSA-M"
0.8803,"CSA-M"
0.883,"CSA-M"
0.8544,"CSA-M"
0.8674,"CSA-M"
0.8625,"CSA-M"
0.8679,"CSA-M"
0.8376,"CSA-M"
0.8585,"CSA-M"
0.86,"CSA-M"
0.9057,"CSA-M"
0.8674,"CSA-M"
0.8848,"CSA-M"
0.9124,"CSA-M"
0.8694,"CSA-M"
0.9219,"CSA-M"
0.8575,"CSA-M"
0.8797,"CSA-M"
0.8697,"CSA-M"
0.8515,"CSA-M"
0.8699,"CSA-M"
0.8953,"CSA-M"
0.8847,"CSA-M"
0.8924,"CSA-M"
0.882,"CSA-M"
0.8632,"CSA-M"
0.877,"CSA-M"
0.8895,"CSA-M"
0.8962,"CSA-M"
0.8909,"CSA-M"
0.8511,"CSA-M"
0.859,"CSA-M"
0.8537,"CSA-M"
0.9004,"CSA-M"
0.8861,"CSA-M"
0.8985,"CSA-Q"
0.8953,"CSA-Q"
0.959,"CSA-Q"
0.9378,"CSA-Q"
0.8863,"CSA-Q"
0.8914,"CSA-Q"
0.9208,"CSA-Q"
0.8972,"CSA-Q"
0.9062,"CSA-Q"
0.9169,"CSA-Q"
0.9035,"CSA-Q"
0.9289,"CSA-Q"
0.8896,"CSA-Q"
0.9312,"CSA-Q"
0.8999,"CSA-Q"
0.9007,"CSA-Q"
0.8962,"CSA-Q"
0.9518,"CSA-Q"
0.9001,"CSA-Q"
0.9397,"CSA-Q"
0.8567,"CSA-Q"
0.9112,"CSA-Q"
0.9279,"CSA-Q"
0.9062,"CSA-Q"
0.9338,"CSA-Q"
0.9413,"CSA-Q"
0.8959,"CSA-Q"
0.9204,"CSA-Q"
0.9355,"CSA-Q"
0.9424,"CSA-Q"
0.9113,"CSA-Q"
0.9157,"CSA-Q"
0.9273,"CSA-Q"
0.9023,"CSA-Q"
0.9005,"CSA-Q"
0.9017,"CSA-Q"
0.8977,"CSA-Q"
0.9389,"CSA-Q"
0.9539,"CSA-Q"
0.9414,"CSA-Q"
0.9297,"CSA-Q"
0.9016,"CSA-Q"
0.9262,"CSA-Q"
0.9173,"CSA-Q"
0.92,"CSA-Q"
0.9303,"CSA-Q"
0.9184,"CSA-Q"
0.9212,"CSA-Q"
0.8982,"CSA-Q"
0.9194,"CSA-Q"
0.7157,"ITE-NUS"
0.6993,"ITE-NUS"
0.7562,"ITE-NUS"
0.6691,"ITE-NUS"
0.7299,"ITE-NUS"
0.7337,"ITE-NUS"
0.7167,"ITE-NUS"
0.7039,"ITE-NUS"
0.6696,"ITE-NUS"
0.7463,"ITE-NUS"
0.6804,"ITE-NUS"
0.6907,"ITE-NUS"
0.7538,"ITE-NUS"
0.7189,"ITE-NUS"
0.7256,"ITE-NUS"
0.7182,"ITE-NUS"
0.7119,"ITE-NUS"
0.6769,"ITE-NUS"
0.7063,"ITE-NUS"
0.751,"ITE-NUS"
0.7197,"ITE-NUS"
0.7045,"ITE-NUS"
0.7274,"ITE-NUS"
0.6734,"ITE-NUS"
0.7311,"ITE-NUS"
0.729,"ITE-NUS"
0.7143,"ITE-NUS"
0.66,"ITE-NUS"
0.7319,"ITE-NUS"
0.7263,"ITE-NUS"
0.7449,"ITE-NUS"
0.7291,"ITE-NUS"
0.6868,"ITE-NUS"
0.6676,"ITE-NUS"
0.7004,"ITE-NUS"
0.7114,"ITE-NUS"
0.7262,"ITE-NUS"
0.7215,"ITE-NUS"
0.6529,"ITE-NUS"
0.7057,"ITE-NUS"
0.7148,"ITE-NUS"
0.734,"ITE-NUS"
0.7612,"ITE-NUS"
0.7512,"ITE-NUS"
0.754,"ITE-NUS"
0.675,"ITE-NUS"
0.7378,"ITE-NUS"
0.7596,"ITE-NUS"
0.7016,"ITE-NUS"
0.7101,"ITE-NUS"
0.9934,"CSA-B"
0.9906,"CSA-B"
0.9944,"CSA-B"
0.9976,"CSA-B"
0.9948,"CSA-B"
0.988,"CSA-B"
0.9923,"CSA-B"
0.9978,"CSA-B"
0.9921,"CSA-B"
0.9959,"CSA-B"
0.9967,"CSA-B"
0.9915,"CSA-B"
0.9921,"CSA-B"
0.9887,"CSA-B"
0.9914,"CSA-B"
0.9938,"CSA-B"
0.9958,"CSA-B"
0.9949,"CSA-B"
0.9898,"CSA-B"
0.9877,"CSA-B"
0.9931,"CSA-B"
0.9901,"CSA-B"
0.9932,"CSA-B"
0.9908,"CSA-B"
0.9933,"CSA-B"
0.9941,"CSA-B"
0.996,"CSA-B"
0.9954,"CSA-B"
0.987,"CSA-B"
0.9953,"CSA-B"
0.9892,"CSA-B"
0.9867,"CSA-B"
0.9941,"CSA-B"
0.9879,"CSA-B"
0.9866,"CSA-B"
0.9915,"CSA-B"
0.9938,"CSA-B"
0.9912,"CSA-B"
0.9927,"CSA-B"
0.9965,"CSA-B"
0.9894,"CSA-B"
0.9962,"CSA-B"
0.9949,"CSA-B"
0.9931,"CSA-B"
0.9926,"CSA-B"
0.9955,"CSA-B"
0.9949,"CSA-B"
0.9857,"CSA-B"
0.994,"CSA-B"
0.9921,"CSA-B"
