"Interval_length","group"
5.52682454147514,"CSA-M"
5.05187432456096,"CSA-M"
4.96183136824692,"CSA-M"
4.93923683526989,"CSA-M"
4.87726901010803,"CSA-M"
5.19899163174745,"CSA-M"
5.0013367910482,"CSA-M"
5.5441485246662,"CSA-M"
4.76957698118633,"CSA-M"
5.09449596464816,"CSA-M"
4.88558228209399,"CSA-M"
5.05214462629395,"CSA-M"
4.70255777265009,"CSA-M"
4.78168294190207,"CSA-M"
5.21305018261666,"CSA-M"
4.71531349305975,"CSA-M"
5.23335446422752,"CSA-M"
5.02673475992006,"CSA-M"
4.9394069409212,"CSA-M"
4.82643091204827,"CSA-M"
4.95088515613315,"CSA-M"
4.82016269693328,"CSA-M"
4.62067565148513,"CSA-M"
4.92737106210406,"CSA-M"
4.952460367058,"CSA-M"
4.29996262765869,"CSA-M"
4.63451930085775,"CSA-M"
4.60642208864263,"CSA-M"
5.16242697148591,"CSA-M"
4.65710745061714,"CSA-M"
5.09613372971143,"CSA-M"
4.99532140030463,"CSA-M"
4.71507215757482,"CSA-M"
4.76081786345693,"CSA-M"
5.02460462158121,"CSA-M"
4.91978263610007,"CSA-M"
4.51484795333081,"CSA-M"
4.95768035462536,"CSA-M"
4.92694869919074,"CSA-M"
4.51328484465286,"CSA-M"
5.20525396872427,"CSA-M"
5.11231358304873,"CSA-M"
4.70377959194644,"CSA-M"
4.96083714015954,"CSA-M"
5.25399380790911,"CSA-M"
5.01691481246927,"CSA-M"
4.77136537278768,"CSA-M"
4.99177548108065,"CSA-M"
5.02850459155934,"CSA-M"
4.83401867652592,"CSA-M"
5.65532404309238,"CSA-Q"
5.48617221166547,"CSA-Q"
6.00250112309392,"CSA-Q"
5.35514327379113,"CSA-Q"
5.56324065450407,"CSA-Q"
6.01376274898591,"CSA-Q"
5.39494321878488,"CSA-Q"
5.9075893822337,"CSA-Q"
5.458801947745,"CSA-Q"
5.10165182882662,"CSA-Q"
5.8683122734274,"CSA-Q"
5.46972001312706,"CSA-Q"
5.30738112312985,"CSA-Q"
5.62897893921527,"CSA-Q"
6.07745838638898,"CSA-Q"
5.5415322593263,"CSA-Q"
5.47409612806589,"CSA-Q"
5.64277047013454,"CSA-Q"
5.60140066137343,"CSA-Q"
5.46961769028937,"CSA-Q"
5.2665203051682,"CSA-Q"
5.89848165090607,"CSA-Q"
5.73994824771162,"CSA-Q"
5.53102875773494,"CSA-Q"
5.44499806879069,"CSA-Q"
5.69585723053513,"CSA-Q"
6.47323230657971,"CSA-Q"
5.5067172789899,"CSA-Q"
5.53636663438813,"CSA-Q"
5.27012591940814,"CSA-Q"
5.08437641538138,"CSA-Q"
5.23490959292701,"CSA-Q"
5.6393776129729,"CSA-Q"
5.35837552616795,"CSA-Q"
5.09327784133224,"CSA-Q"
