"Coverage","group"
0.8253,"CSA-M"
0.8726,"CSA-M"
0.866,"CSA-M"
0.8973,"CSA-M"
0.8994,"CSA-M"
0.8418,"CSA-M"
0.8868,"CSA-M"
0.8906,"CSA-M"
0.9547,"CSA-M"
0.9162,"CSA-M"
0.8535,"CSA-M"
0.881,"CSA-M"
0.8839,"CSA-M"
0.8663,"CSA-M"
0.855,"CSA-M"
0.8574,"CSA-M"
0.8795,"CSA-M"
0.8954,"CSA-M"
0.8773,"CSA-M"
0.9038,"CSA-M"
0.8839,"CSA-M"
0.8635,"CSA-M"
0.8894,"CSA-M"
0.9109,"CSA-M"
0.9089,"CSA-M"
0.9087,"CSA-M"
0.8377,"CSA-M"
0.8381,"CSA-M"
0.9016,"CSA-M"
0.9402,"CSA-M"
0.852,"CSA-M"
0.9178,"CSA-M"
0.9046,"CSA-M"
0.8681,"CSA-M"
0.9024,"CSA-M"
0.9135,"CSA-M"
0.8883,"CSA-M"
0.9152,"CSA-M"
0.9211,"CSA-M"
0.8972,"CSA-M"
0.8984,"CSA-M"
0.8596,"CSA-M"
0.9068,"CSA-M"
0.8859,"CSA-M"
0.8815,"CSA-M"
0.886,"CSA-M"
0.8694,"CSA-M"
0.8956,"CSA-M"
0.9024,"CSA-M"
0.9097,"CSA-M"
0.9511,"CSA-Q"
0.8775,"CSA-Q"
0.8987,"CSA-Q"
0.9308,"CSA-Q"
0.9509,"CSA-Q"
0.9072,"CSA-Q"
0.8994,"CSA-Q"
0.9273,"CSA-Q"
0.903,"CSA-Q"
0.9438,"CSA-Q"
0.9186,"CSA-Q"
0.8966,"CSA-Q"
0.9191,"CSA-Q"
0.9174,"CSA-Q"
0.9149,"CSA-Q"
0.8904,"CSA-Q"
0.936,"CSA-Q"
0.9269,"CSA-Q"
0.9091,"CSA-Q"
0.9489,"CSA-Q"
0.9103,"CSA-Q"
0.9148,"CSA-Q"
0.9436,"CSA-Q"
0.958,"CSA-Q"
0.915,"CSA-Q"
0.9131,"CSA-Q"
0.9359,"CSA-Q"
0.9335,"CSA-Q"
0.9397,"CSA-Q"
0.9514,"CSA-Q"
0.9485,"CSA-Q"
0.9441,"CSA-Q"
0.9238,"CSA-Q"
0.9248,"CSA-Q"
0.9166,"CSA-Q"
0.921,"CSA-Q"
0.8397,"CSA-Q"
0.9389,"CSA-Q"
0.9081,"CSA-Q"
0.9349,"CSA-Q"
0.9685,"CSA-Q"
0.9094,"CSA-Q"
0.9107,"CSA-Q"
0.9267,"CSA-Q"
0.9481,"CSA-Q"
0.8854,"CSA-Q"
0.9285,"CSA-Q"
0.9575,"CSA-Q"
0.9391,"CSA-Q"
0.9539,"CSA-Q"
0.6694,"ITE-NUS"
0.6782,"ITE-NUS"
0.6475,"ITE-NUS"
0.713,"ITE-NUS"
0.6776,"ITE-NUS"
0.685,"ITE-NUS"
0.685,"ITE-NUS"
0.6693,"ITE-NUS"
0.6467,"ITE-NUS"
0.6782,"ITE-NUS"
0.6285,"ITE-NUS"
0.6858,"ITE-NUS"
0.6951,"ITE-NUS"
0.6672,"ITE-NUS"
0.6451,"ITE-NUS"
0.6993,"ITE-NUS"
0.7247,"ITE-NUS"
0.6451,"ITE-NUS"
0.6857,"ITE-NUS"
0.6734,"ITE-NUS"
0.6681,"ITE-NUS"
0.6569,"ITE-NUS"
0.725,"ITE-NUS"
0.6985,"ITE-NUS"
0.7513,"ITE-NUS"
0.7059,"ITE-NUS"
0.6899,"ITE-NUS"
0.6913,"ITE-NUS"
0.6522,"ITE-NUS"
0.7312,"ITE-NUS"
0.6825,"ITE-NUS"
0.7072,"ITE-NUS"
0.6434,"ITE-NUS"
0.7054,"ITE-NUS"
0.6706,"ITE-NUS"
0.7109,"ITE-NUS"
0.6959,"ITE-NUS"
0.677,"ITE-NUS"
0.6744,"ITE-NUS"
0.6885,"ITE-NUS"
0.7034,"ITE-NUS"
0.698,"ITE-NUS"
0.7126,"ITE-NUS"
0.7091,"ITE-NUS"
0.6891,"ITE-NUS"
0.6672,"ITE-NUS"
0.713,"ITE-NUS"
0.7051,"ITE-NUS"
0.7097,"ITE-NUS"
0.6412,"ITE-NUS"
0.9928,"CSA-B"
0.9972,"CSA-B"
0.9927,"CSA-B"
0.9922,"CSA-B"
0.996,"CSA-B"
0.9935,"CSA-B"
0.9948,"CSA-B"
0.9919,"CSA-B"
0.9957,"CSA-B"
0.9919,"CSA-B"
0.9949,"CSA-B"
0.9953,"CSA-B"
0.99,"CSA-B"
0.9928,"CSA-B"
0.9922,"CSA-B"
0.9931,"CSA-B"
0.9939,"CSA-B"
0.9918,"CSA-B"
0.9931,"CSA-B"
0.999,"CSA-B"
0.9897,"CSA-B"
0.9958,"CSA-B"
0.991,"CSA-B"
0.9935,"CSA-B"
0.9963,"CSA-B"
0.9964,"CSA-B"
0.9859,"CSA-B"
0.9933,"CSA-B"
0.9933,"CSA-B"
0.9947,"CSA-B"
0.9912,"CSA-B"
0.9965,"CSA-B"
0.9974,"CSA-B"
0.9971,"CSA-B"
0.9974,"CSA-B"
0.9902,"CSA-B"
0.9954,"CSA-B"
0.9932,"CSA-B"
0.9965,"CSA-B"
0.9866,"CSA-B"
0.9899,"CSA-B"
0.9932,"CSA-B"
0.9959,"CSA-B"
0.9948,"CSA-B"
0.9959,"CSA-B"
0.993,"CSA-B"
0.9906,"CSA-B"
0.9954,"CSA-B"
0.9932,"CSA-B"
0.9956,"CSA-B"
