"fct_val","group"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-M"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
1.01,"CSA-Q"
