"Interval_length","group"
3.27412315117493,"CSA-M"
3.51993393930455,"CSA-M"
3.25410571183979,"CSA-M"
2.90733223911941,"CSA-M"
3.12087642950394,"CSA-M"
3.1590871325062,"CSA-M"
2.9148133963777,"CSA-M"
3.18354250373025,"CSA-M"
3.41200790457757,"CSA-M"
3.42682708562656,"CSA-M"
3.32313321971341,"CSA-M"
2.86905220960282,"CSA-M"
3.04385619600751,"CSA-M"
3.15020052892622,"CSA-M"
3.42346039033296,"CSA-M"
2.98066609955024,"CSA-M"
3.19812024744426,"CSA-M"
3.2254826508174,"CSA-M"
3.24535913158402,"CSA-M"
3.48037287591645,"CSA-M"
3.22034385202131,"CSA-M"
3.30850527825603,"CSA-M"
3.46688839959475,"CSA-M"
3.33661575565485,"CSA-M"
3.17963086901152,"CSA-M"
3.31039218961664,"CSA-M"
3.09326731294646,"CSA-M"
2.98613564656864,"CSA-M"
3.06171131375012,"CSA-M"
3.37718781117448,"CSA-M"
3.54974386958519,"CSA-M"
3.27128966118502,"CSA-M"
3.25273703142509,"CSA-M"
3.03281329620729,"CSA-M"
3.31465203334957,"CSA-M"
3.59067475543443,"CSA-M"
3.3503566837576,"CSA-M"
3.37084311142552,"CSA-M"
3.43315196047682,"CSA-M"
3.50310458807633,"CSA-M"
3.4553451462459,"CSA-M"
3.27211137151265,"CSA-M"
3.14520859553035,"CSA-M"
3.14424302399802,"CSA-M"
3.41912526377828,"CSA-M"
3.09234676546141,"CSA-M"
3.5079989482303,"CSA-M"
3.43221528992647,"CSA-M"
3.34964188221805,"CSA-M"
3.42159371349671,"CSA-M"
3.38647036542097,"CSA-Q"
3.39855276586681,"CSA-Q"
3.3350627191381,"CSA-Q"
3.25733580644047,"CSA-Q"
3.39568637240529,"CSA-Q"
3.37704273933536,"CSA-Q"
3.26508207892439,"CSA-Q"
3.28633644129408,"CSA-Q"
3.49564192968421,"CSA-Q"
3.57596909744399,"CSA-Q"
3.51093795729145,"CSA-Q"
3.38699702539974,"CSA-Q"
3.2767668039078,"CSA-Q"
3.27954659367243,"CSA-Q"
3.23755808203732,"CSA-Q"
3.39208665340738,"CSA-Q"
3.34711729882817,"CSA-Q"
3.56515594374366,"CSA-Q"
3.62340464251431,"CSA-Q"
3.37524898566071,"CSA-Q"
3.45727659156251,"CSA-Q"
3.19630946044919,"CSA-Q"
3.16163241891461,"CSA-Q"
3.38854507270327,"CSA-Q"
3.25277826943158,"CSA-Q"
3.15371080154939,"CSA-Q"
3.64226305641178,"CSA-Q"
3.36900355651807,"CSA-Q"
3.34045869702486,"CSA-Q"
3.56431593824466,"CSA-Q"
3.64514267460864,"CSA-Q"
3.54361880902277,"CSA-Q"
3.34231106260148,"CSA-Q"
3.26915842856256,"CSA-Q"
3.22073948685323,"CSA-Q"
3.39201998792067,"CSA-Q"
3.29407580189005,"CSA-Q"
3.38103057239748,"CSA-Q"
3.17768775759412,"CSA-Q"
3.25271826637533,"CSA-Q"
3.61313626384228,"CSA-Q"
3.81487474483227,"CSA-Q"
3.32822373686996,"CSA-Q"
3.21727631764199,"CSA-Q"
3.40705763771562,"CSA-Q"
3.56062734584747,"CSA-Q"
3.58825273752089,"CSA-Q"
3.31693432678747,"CSA-Q"
3.3072762176523,"CSA-Q"
3.67032242323615,"CSA-Q"
