"Coverage","group"
0.7868,"CSA-M"
0.8973,"CSA-M"
0.8536,"CSA-M"
0.8261,"CSA-M"
0.8394,"CSA-M"
0.9025,"CSA-M"
0.8863,"CSA-M"
0.8998,"CSA-M"
0.8699,"CSA-M"
0.8709,"CSA-M"
0.7845,"CSA-M"
0.8954,"CSA-M"
0.8397,"CSA-M"
0.8494,"CSA-M"
0.8749,"CSA-M"
0.8813,"CSA-M"
0.8363,"CSA-M"
0.8964,"CSA-M"
0.8608,"CSA-M"
0.8231,"CSA-M"
0.8456,"CSA-M"
0.8762,"CSA-M"
0.8289,"CSA-M"
0.8355,"CSA-M"
0.8896,"CSA-M"
0.8626,"CSA-M"
0.8565,"CSA-M"
0.876,"CSA-M"
0.9015,"CSA-M"
0.9067,"CSA-M"
0.919,"CSA-M"
0.8667,"CSA-M"
0.8719,"CSA-M"
0.8119,"CSA-M"
0.8359,"CSA-M"
0.9043,"CSA-M"
0.8662,"CSA-M"
0.8685,"CSA-M"
0.9028,"CSA-M"
0.8307,"CSA-M"
0.8972,"CSA-M"
0.9157,"CSA-M"
0.8873,"CSA-M"
0.9192,"CSA-M"
0.8346,"CSA-M"
0.8911,"CSA-M"
0.8395,"CSA-M"
0.877,"CSA-M"
0.9279,"CSA-M"
0.8784,"CSA-M"
0.8745,"CSA-Q"
0.8929,"CSA-Q"
0.9053,"CSA-Q"
0.8272,"CSA-Q"
0.9189,"CSA-Q"
0.8386,"CSA-Q"
0.8937,"CSA-Q"
0.8686,"CSA-Q"
0.8591,"CSA-Q"
0.8438,"CSA-Q"
0.9018,"CSA-Q"
0.8413,"CSA-Q"
0.8688,"CSA-Q"
0.8425,"CSA-Q"
0.9153,"CSA-Q"
0.8777,"CSA-Q"
0.8554,"CSA-Q"
0.8237,"CSA-Q"
0.8671,"CSA-Q"
0.8823,"CSA-Q"
0.881,"CSA-Q"
0.8586,"CSA-Q"
0.8494,"CSA-Q"
0.885,"CSA-Q"
0.8428,"CSA-Q"
0.9055,"CSA-Q"
0.8942,"CSA-Q"
0.8813,"CSA-Q"
0.867,"CSA-Q"
0.818,"CSA-Q"
0.9281,"CSA-Q"
0.8721,"CSA-Q"
0.8832,"CSA-Q"
0.9117,"CSA-Q"
0.8946,"CSA-Q"
0.844,"CSA-Q"
0.8616,"CSA-Q"
0.8976,"CSA-Q"
0.8799,"CSA-Q"
0.9212,"CSA-Q"
0.8602,"CSA-Q"
0.8776,"CSA-Q"
0.8197,"CSA-Q"
0.8785,"CSA-Q"
0.8639,"CSA-Q"
0.8813,"CSA-Q"
0.9061,"CSA-Q"
0.8522,"CSA-Q"
0.8635,"CSA-Q"
0.8886,"CSA-Q"
