"Interval_length","group"
6.57857683217114,"CSA-M"
6.33585384937057,"CSA-M"
5.51348617110883,"CSA-M"
7.57357681481283,"CSA-M"
5.99097276392008,"CSA-M"
5.71046110779719,"CSA-M"
5.85107223026939,"CSA-M"
6.88504422728456,"CSA-M"
6.26729751138881,"CSA-M"
6.44526955842365,"CSA-M"
6.01069952395297,"CSA-M"
6.34940712361273,"CSA-M"
5.98622464872089,"CSA-M"
5.43222775893415,"CSA-M"
6.72458522470246,"CSA-M"
5.93768151591222,"CSA-M"
6.0473423615132,"CSA-M"
6.98912246837449,"CSA-M"
6.51178343226564,"CSA-M"
5.39543231514008,"CSA-M"
5.48629641500354,"CSA-M"
6.09436711129356,"CSA-M"
5.84789416621542,"CSA-M"
5.47218725610619,"CSA-M"
6.90741434391252,"CSA-M"
6.08255420495923,"CSA-M"
6.3528406008843,"CSA-M"
6.27651772304363,"CSA-M"
6.53188182851056,"CSA-M"
7.01409462749415,"CSA-M"
6.20249057631801,"CSA-M"
6.35634714679378,"CSA-M"
6.41811918119117,"CSA-M"
5.82741776088689,"CSA-M"
6.76682305010648,"CSA-M"
6.45601390842923,"CSA-M"
6.38833649913248,"CSA-M"
6.46470699054226,"CSA-M"
6.04805848152422,"CSA-M"
7.04004180503361,"CSA-M"
6.92886316735274,"CSA-M"
6.03088023293532,"CSA-M"
7.41409482951415,"CSA-M"
6.56142937996243,"CSA-M"
6.90673727842939,"CSA-M"
5.84953361709927,"CSA-M"
6.41840244151882,"CSA-M"
6.34122383183061,"CSA-M"
6.31664218503964,"CSA-M"
6.0836956551119,"CSA-M"
6.68862566316605,"CSA-Q"
6.99972726924614,"CSA-Q"
7.41167851631425,"CSA-Q"
5.82648742985181,"CSA-Q"
6.5148613197011,"CSA-Q"
5.44961029277725,"CSA-Q"
5.28168637349594,"CSA-Q"
6.29340016572867,"CSA-Q"
6.84574539705966,"CSA-Q"
6.37072545161362,"CSA-Q"
5.72192691766699,"CSA-Q"
6.60683357790872,"CSA-Q"
6.01498335770313,"CSA-Q"
6.31132847426699,"CSA-Q"
5.66578816390852,"CSA-Q"
5.79052918881885,"CSA-Q"
6.36530664557087,"CSA-Q"
6.55015485052185,"CSA-Q"
6.81760231688244,"CSA-Q"
5.69183625895532,"CSA-Q"
6.06682222608872,"CSA-Q"
6.71863393525658,"CSA-Q"
6.76443560535166,"CSA-Q"
6.05433296139292,"CSA-Q"
6.09439839041096,"CSA-Q"
5.04350741770024,"CSA-Q"
6.6879296772682,"CSA-Q"
5.34131838071166,"CSA-Q"
6.81929095262532,"CSA-Q"
5.83090112892618,"CSA-Q"
6.53226689261038,"CSA-Q"
6.55837548091882,"CSA-Q"
6.41059551614576,"CSA-Q"
6.27309934266849,"CSA-Q"
6.52511629925209,"CSA-Q"
6.44534623321826,"CSA-Q"
5.93397644852687,"CSA-Q"
7.17251707811481,"CSA-Q"
6.1190480796289,"CSA-Q"
6.65478674174821,"CSA-Q"
7.38443097262527,"CSA-Q"
6.58998595905233,"CSA-Q"
5.8379644398669,"CSA-Q"
7.13109058893185,"CSA-Q"
6.85666296819583,"CSA-Q"
6.63101912190891,"CSA-Q"
5.93731110332391,"CSA-Q"
5.7237698511678,"CSA-Q"
7.28674975338402,"CSA-Q"
6.26009960228727,"CSA-Q"
