"Coverage","group"
0.886,"CSA-M"
0.8907,"CSA-M"
0.9052,"CSA-M"
0.8669,"CSA-M"
0.8636,"CSA-M"
0.8446,"CSA-M"
0.8862,"CSA-M"
0.9355,"CSA-M"
0.8918,"CSA-M"
0.9083,"CSA-M"
0.8654,"CSA-M"
0.9094,"CSA-M"
0.89,"CSA-M"
0.9016,"CSA-M"
0.8826,"CSA-M"
0.8492,"CSA-M"
0.8676,"CSA-M"
0.9172,"CSA-M"
0.8863,"CSA-M"
0.8771,"CSA-M"
0.882,"CSA-M"
0.8638,"CSA-M"
0.9001,"CSA-M"
0.85,"CSA-M"
0.9053,"CSA-M"
0.9095,"CSA-M"
0.8821,"CSA-M"
0.8832,"CSA-M"
0.8973,"CSA-M"
0.9248,"CSA-M"
0.902,"CSA-M"
0.8629,"CSA-M"
0.8687,"CSA-M"
0.894,"CSA-M"
0.9102,"CSA-M"
0.9026,"CSA-M"
0.8235,"CSA-M"
0.8672,"CSA-M"
0.8882,"CSA-M"
0.9149,"CSA-M"
0.8944,"CSA-M"
0.901,"CSA-M"
0.8862,"CSA-M"
0.9067,"CSA-M"
0.87,"CSA-M"
0.8614,"CSA-M"
0.8884,"CSA-M"
0.8384,"CSA-M"
0.9057,"CSA-M"
0.8869,"CSA-M"
0.8891,"CSA-Q"
0.8971,"CSA-Q"
0.9302,"CSA-Q"
0.8627,"CSA-Q"
0.843,"CSA-Q"
0.865,"CSA-Q"
0.903,"CSA-Q"
0.9568,"CSA-Q"
0.8865,"CSA-Q"
0.8674,"CSA-Q"
0.8638,"CSA-Q"
0.9144,"CSA-Q"
0.8684,"CSA-Q"
0.9146,"CSA-Q"
0.9301,"CSA-Q"
0.8946,"CSA-Q"
0.8709,"CSA-Q"
0.9083,"CSA-Q"
0.9044,"CSA-Q"
0.8877,"CSA-Q"
0.8523,"CSA-Q"
0.8305,"CSA-Q"
0.9714,"CSA-Q"
0.9072,"CSA-Q"
0.9255,"CSA-Q"
0.8457,"CSA-Q"
0.8979,"CSA-Q"
0.8928,"CSA-Q"
0.9367,"CSA-Q"
0.9039,"CSA-Q"
0.9359,"CSA-Q"
0.8926,"CSA-Q"
0.9188,"CSA-Q"
0.9242,"CSA-Q"
0.8985,"CSA-Q"
0.9075,"CSA-Q"
0.9201,"CSA-Q"
0.8792,"CSA-Q"
0.9219,"CSA-Q"
0.9026,"CSA-Q"
0.8567,"CSA-Q"
0.9018,"CSA-Q"
0.8938,"CSA-Q"
0.9231,"CSA-Q"
0.875,"CSA-Q"
0.8814,"CSA-Q"
0.8934,"CSA-Q"
0.8866,"CSA-Q"
0.9303,"CSA-Q"
0.8789,"CSA-Q"
