"Interval_length","group"
4.51631011953054,"CSA-M"
4.35652001698152,"CSA-M"
4.29354618073024,"CSA-M"
4.64704793463238,"CSA-M"
3.90115790601346,"CSA-M"
4.37951344279372,"CSA-M"
4.5038434471274,"CSA-M"
3.9153519705825,"CSA-M"
4.48898373967758,"CSA-M"
4.11358036549778,"CSA-M"
4.54845016411752,"CSA-M"
4.30485463085771,"CSA-M"
4.48927994543466,"CSA-M"
4.12891180209981,"CSA-M"
4.28462982807835,"CSA-M"
4.22784662175282,"CSA-M"
4.45995646336899,"CSA-M"
3.74135769226419,"CSA-M"
4.22007180115855,"CSA-M"
4.48852791076991,"CSA-M"
4.02204748728485,"CSA-M"
4.44079089644946,"CSA-M"
5.08337034820841,"CSA-M"
4.73243497703979,"CSA-M"
4.42005918299125,"CSA-M"
4.50535341555472,"CSA-M"
4.5473497246255,"CSA-M"
4.20187542791359,"CSA-M"
4.41990918007828,"CSA-M"
4.25647391898224,"CSA-M"
4.59553826509792,"CSA-M"
4.48277650469111,"CSA-M"
4.07824322886275,"CSA-M"
4.26344809432477,"CSA-M"
3.91098006263959,"CSA-M"
4.16194484120485,"CSA-M"
4.24106880948533,"CSA-M"
4.39240038645373,"CSA-M"
3.90669440077393,"CSA-M"
4.49872227921845,"CSA-M"
4.59416512435088,"CSA-M"
4.38988198814923,"CSA-M"
4.70076744794358,"CSA-M"
4.04889244317856,"CSA-M"
4.12417046522627,"CSA-M"
4.71885163159505,"CSA-M"
4.41900401361399,"CSA-M"
4.20721289095425,"CSA-M"
4.21622404403861,"CSA-M"
4.1999709449195,"CSA-M"
4.58061809284571,"CSA-Q"
4.63452940920411,"CSA-Q"
4.7484765234615,"CSA-Q"
5.09888801144829,"CSA-Q"
4.50204897557256,"CSA-Q"
4.83266793738026,"CSA-Q"
4.92572816120668,"CSA-Q"
5.13053509239627,"CSA-Q"
4.86682670144243,"CSA-Q"
4.66525403440443,"CSA-Q"
4.58504917940885,"CSA-Q"
4.47300259002216,"CSA-Q"
5.13079721157594,"CSA-Q"
5.01819300709843,"CSA-Q"
4.95202403510654,"CSA-Q"
4.9287604278203,"CSA-Q"
5.01068740221704,"CSA-Q"
4.94081435020497,"CSA-Q"
4.7202860031022,"CSA-Q"
4.85244082996689,"CSA-Q"
4.66892875802264,"CSA-Q"
4.88371867156743,"CSA-Q"
4.77012786366188,"CSA-Q"
4.89393296671082,"CSA-Q"
4.63504699998946,"CSA-Q"
5.00646106486405,"CSA-Q"
4.86191254964301,"CSA-Q"
5.27827751780428,"CSA-Q"
4.8490335009494,"CSA-Q"
5.09383594784613,"CSA-Q"
4.95309656176605,"CSA-Q"
4.95296798874587,"CSA-Q"
5.31042352691348,"CSA-Q"
5.21288752332032,"CSA-Q"
4.84210444144865,"CSA-Q"
4.93292332448821,"CSA-Q"
4.60299099049447,"CSA-Q"
4.99286118485615,"CSA-Q"
4.9238702553876,"CSA-Q"
5.13810305154746,"CSA-Q"
4.58409001764724,"CSA-Q"
4.87061515605687,"CSA-Q"
5.22085960562299,"CSA-Q"
4.48945037725287,"CSA-Q"
4.64995785208173,"CSA-Q"
4.73831710247449,"CSA-Q"
4.9803551477318,"CSA-Q"
4.86110461540194,"CSA-Q"
4.73649855894178,"CSA-Q"
4.71933488298366,"CSA-Q"
