"Interval_length","group"
3.59386470089135,"CSA-M"
3.62819100751804,"CSA-M"
3.73404540128368,"CSA-M"
3.38573129076163,"CSA-M"
3.57509485992244,"CSA-M"
3.58075352833807,"CSA-M"
3.39405166049732,"CSA-M"
3.24715280547502,"CSA-M"
3.52698723599505,"CSA-M"
3.62165521810174,"CSA-M"
3.42164279845107,"CSA-M"
3.60618967408392,"CSA-M"
3.60432207205424,"CSA-M"
3.31527754762885,"CSA-M"
3.45627370030561,"CSA-M"
3.54231764291427,"CSA-M"
3.56737834175101,"CSA-M"
3.5664008112918,"CSA-M"
3.57428274820941,"CSA-M"
3.50250050274418,"CSA-M"
3.39239566380162,"CSA-M"
3.45035253691204,"CSA-M"
3.39632620286636,"CSA-M"
3.25541943989546,"CSA-M"
3.51393656592178,"CSA-M"
3.30473000490956,"CSA-M"
3.58373326929918,"CSA-M"
3.45194393091709,"CSA-M"
3.35435913615534,"CSA-M"
3.6910659803184,"CSA-M"
3.72108711965772,"CSA-M"
3.44455774982813,"CSA-M"
3.54437367894103,"CSA-M"
3.34453215364781,"CSA-M"
3.40133932138066,"CSA-M"
3.63502918044664,"CSA-M"
3.31850047668603,"CSA-M"
3.49442947374436,"CSA-M"
3.3324496881949,"CSA-M"
3.31794444111251,"CSA-M"
3.42495349644278,"CSA-M"
3.41045283365042,"CSA-M"
3.65327387570969,"CSA-M"
3.46868626887524,"CSA-M"
3.53212147484558,"CSA-M"
3.66747455700195,"CSA-M"
3.82804149425816,"CSA-M"
3.41393710200701,"CSA-M"
3.58510999205239,"CSA-M"
3.19862310188855,"CSA-M"
4.15035168750115,"CSA-Q"
3.8702735195602,"CSA-Q"
3.95398265703569,"CSA-Q"
4.05087546081421,"CSA-Q"
4.03561739020139,"CSA-Q"
4.01559958127472,"CSA-Q"
3.87495299801803,"CSA-Q"
3.94291160325435,"CSA-Q"
4.05663585633855,"CSA-Q"
3.71826401516211,"CSA-Q"
3.89974117171636,"CSA-Q"
3.87892833061486,"CSA-Q"
4.24482577130984,"CSA-Q"
3.99482764546507,"CSA-Q"
3.82957474116877,"CSA-Q"
3.80623155683893,"CSA-Q"
3.86130280992562,"CSA-Q"
4.05011041155656,"CSA-Q"
3.80751827422954,"CSA-Q"
4.18214424253464,"CSA-Q"
3.85479317512753,"CSA-Q"
3.65368038088811,"CSA-Q"
4.18491220230993,"CSA-Q"
4.13825265571568,"CSA-Q"
4.01059733369574,"CSA-Q"
4.21799820706801,"CSA-Q"
4.14401714263371,"CSA-Q"
4.06487741481255,"CSA-Q"
3.97839184163427,"CSA-Q"
3.96847566699454,"CSA-Q"
3.94489446069083,"CSA-Q"
3.84216832561326,"CSA-Q"
3.74328785957045,"CSA-Q"
3.85200639544857,"CSA-Q"
4.10648609509744,"CSA-Q"
3.72245244829618,"CSA-Q"
3.77014706576669,"CSA-Q"
3.9207344845657,"CSA-Q"
3.72925651361984,"CSA-Q"
4.13218101996623,"CSA-Q"
3.82775925525064,"CSA-Q"
3.9069640292321,"CSA-Q"
3.98337212745623,"CSA-Q"
4.12357628302469,"CSA-Q"
3.98157763170113,"CSA-Q"
4.12599085836271,"CSA-Q"
4.33086672715239,"CSA-Q"
3.92198996852624,"CSA-Q"
3.79350176105231,"CSA-Q"
3.67934909424295,"CSA-Q"
