"Coverage","group"
0.8732,"CSA-M"
0.9314,"CSA-M"
0.8336,"CSA-M"
0.8593,"CSA-M"
0.8694,"CSA-M"
0.8979,"CSA-M"
0.8877,"CSA-M"
0.8322,"CSA-M"
0.8951,"CSA-M"
0.9001,"CSA-M"
0.8489,"CSA-M"
0.881,"CSA-M"
0.8202,"CSA-M"
0.8684,"CSA-M"
0.8662,"CSA-M"
0.8476,"CSA-M"
0.8887,"CSA-M"
0.8802,"CSA-M"
0.8975,"CSA-M"
0.8388,"CSA-M"
0.8738,"CSA-M"
0.8616,"CSA-M"
0.8616,"CSA-M"
0.827,"CSA-M"
0.8719,"CSA-M"
0.8487,"CSA-M"
0.91,"CSA-M"
0.9042,"CSA-M"
0.8754,"CSA-M"
0.8904,"CSA-M"
0.8534,"CSA-M"
0.8794,"CSA-M"
0.8768,"CSA-M"
0.8496,"CSA-M"
0.8969,"CSA-M"
0.8778,"CSA-M"
0.8376,"CSA-M"
0.895,"CSA-M"
0.8802,"CSA-M"
0.8783,"CSA-M"
0.843,"CSA-M"
0.8921,"CSA-M"
0.8933,"CSA-M"
0.8923,"CSA-M"
0.9018,"CSA-M"
0.858,"CSA-M"
0.839,"CSA-M"
0.8583,"CSA-M"
0.8607,"CSA-M"
0.9256,"CSA-M"
0.9099,"CSA-Q"
0.8979,"CSA-Q"
0.8963,"CSA-Q"
0.9124,"CSA-Q"
0.9388,"CSA-Q"
0.9277,"CSA-Q"
0.9153,"CSA-Q"
0.9001,"CSA-Q"
0.8751,"CSA-Q"
0.8942,"CSA-Q"
0.9192,"CSA-Q"
0.9155,"CSA-Q"
0.9351,"CSA-Q"
0.8913,"CSA-Q"
0.9176,"CSA-Q"
0.9039,"CSA-Q"
0.8727,"CSA-Q"
0.8974,"CSA-Q"
0.9171,"CSA-Q"
0.9113,"CSA-Q"
0.9123,"CSA-Q"
0.9463,"CSA-Q"
0.9376,"CSA-Q"
0.9044,"CSA-Q"
0.9124,"CSA-Q"
0.9039,"CSA-Q"
0.9042,"CSA-Q"
0.8891,"CSA-Q"
0.8698,"CSA-Q"
0.8755,"CSA-Q"
0.8766,"CSA-Q"
0.923,"CSA-Q"
0.897,"CSA-Q"
0.8941,"CSA-Q"
0.8885,"CSA-Q"
0.9379,"CSA-Q"
0.9288,"CSA-Q"
0.9072,"CSA-Q"
0.9317,"CSA-Q"
0.9213,"CSA-Q"
0.907,"CSA-Q"
0.9089,"CSA-Q"
0.9317,"CSA-Q"
0.9114,"CSA-Q"
0.9265,"CSA-Q"
0.8856,"CSA-Q"
0.9365,"CSA-Q"
0.928,"CSA-Q"
0.8904,"CSA-Q"
0.9385,"CSA-Q"
