"Coverage","group"
0.8363,"CSA-M"
0.8656,"CSA-M"
0.8487,"CSA-M"
0.8603,"CSA-M"
0.8239,"CSA-M"
0.8641,"CSA-M"
0.8803,"CSA-M"
0.852,"CSA-M"
0.9027,"CSA-M"
0.8831,"CSA-M"
0.8341,"CSA-M"
0.8523,"CSA-M"
0.8982,"CSA-M"
0.8066,"CSA-M"
0.8668,"CSA-M"
0.8754,"CSA-M"
0.8351,"CSA-M"
0.8455,"CSA-M"
0.8312,"CSA-M"
0.8372,"CSA-M"
0.8958,"CSA-M"
0.8483,"CSA-M"
0.8768,"CSA-M"
0.8345,"CSA-M"
0.8385,"CSA-M"
0.8521,"CSA-M"
0.8709,"CSA-M"
0.8356,"CSA-M"
0.8831,"CSA-M"
0.8146,"CSA-M"
0.8684,"CSA-M"
0.8572,"CSA-M"
0.848,"CSA-M"
0.8111,"CSA-M"
0.8315,"CSA-M"
0.8415,"CSA-M"
0.8576,"CSA-M"
0.8633,"CSA-M"
0.8553,"CSA-M"
0.8461,"CSA-M"
0.8399,"CSA-M"
0.8314,"CSA-M"
0.8727,"CSA-M"
0.8417,"CSA-M"
0.862,"CSA-M"
0.8669,"CSA-M"
0.8733,"CSA-M"
0.8312,"CSA-M"
0.8655,"CSA-M"
0.8203,"CSA-M"
0.9103,"CSA-Q"
0.9071,"CSA-Q"
0.896,"CSA-Q"
0.9064,"CSA-Q"
0.9028,"CSA-Q"
0.8469,"CSA-Q"
0.8882,"CSA-Q"
0.899,"CSA-Q"
0.9198,"CSA-Q"
0.9221,"CSA-Q"
0.8621,"CSA-Q"
0.8969,"CSA-Q"
0.8957,"CSA-Q"
0.8913,"CSA-Q"
0.8955,"CSA-Q"
0.9027,"CSA-Q"
0.8948,"CSA-Q"
0.8969,"CSA-Q"
0.8694,"CSA-Q"
0.9071,"CSA-Q"
0.8749,"CSA-Q"
0.9014,"CSA-Q"
0.9294,"CSA-Q"
0.8944,"CSA-Q"
0.9104,"CSA-Q"
0.8916,"CSA-Q"
0.9126,"CSA-Q"
0.8762,"CSA-Q"
0.8823,"CSA-Q"
0.9073,"CSA-Q"
0.8985,"CSA-Q"
0.8925,"CSA-Q"
0.8817,"CSA-Q"
0.8935,"CSA-Q"
0.9047,"CSA-Q"
0.8848,"CSA-Q"
0.8843,"CSA-Q"
0.913,"CSA-Q"
0.8753,"CSA-Q"
0.8882,"CSA-Q"
0.8808,"CSA-Q"
0.8835,"CSA-Q"
0.8888,"CSA-Q"
0.8839,"CSA-Q"
0.9051,"CSA-Q"
0.9336,"CSA-Q"
0.8773,"CSA-Q"
0.9117,"CSA-Q"
0.881,"CSA-Q"
0.9149,"CSA-Q"
